sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;178,90;178,95;178,25;180,50;177,70;179,10;179,413;1035598;185799763,13;2884;
2019-06-04;178,25;178,35;175,00;178,40;174,20;178,40;177,203;1489657;263981366,42;3346;
2019-06-03;174,65;174,75;173,00;175,15;172,40;174,70;173,823;1192517;207287065,64;2951;
2019-05-31;173,55;173,65;175,60;175,75;173,55;173,90;174,148;2191664;381697772,5;5773;
2019-05-29;176,80;176,85;177,75;177,95;176,50;176,80;177,107;635311;112518889,54;1599;
2019-05-28;179,30;179,35;180,05;180,40;178,70;179,00;179,114;1330316;238277756,67;4112;
2019-05-27;179,95;180,05;180,15;181,05;179,65;180,15;180,158;592510;106745661,24;2018;
2019-05-24;179,45;179,50;180,50;181,50;179,05;179,35;179,897;834430;150113821,61;2679;
2019-05-23;179,80;179,90;182,40;182,45;179,55;180,20;180,516;1446325;261044121,56;4513;
2019-05-22;182,90;182,95;183,00;183,40;181,60;182,90;182,598;803887;146788301,82;2367;
2019-05-21;183,40;183,45;182,75;184,60;182,65;183,40;183,368;708623;129939081,89;1869;
2019-05-20;182,15;182,20;184,40;184,40;180,70;182,15;182,09;1151408;209681397,6;2543;
2019-05-17;184,75;184,80;185,60;186,50;183,80;184,70;184,961;1445441;267348531,97;4037;
2019-05-16;184,90;185,00;181,65;185,20;181,20;185,20;183,694;1218385;223809334,27;3303;
2019-05-15;181,00;181,10;180,65;181,30;178,30;181,30;179,707;791464;142231633,73;2369;
2019-05-14;180,25;180,35;181,50;182,45;178,65;180,50;180,055;957002;172312702,03;2552;
2019-05-13;180,40;180,50;184,60;184,60;180,05;180,40;181,555;1224342;222230225,73;3345;
2019-05-10;184,00;184,10;184,40;185,75;183,50;184,60;184,801;1354883;250389266,37;3440;
2019-05-09;182,15;182,20;182,75;183,70;181,60;182,25;182,561;1397253;255117925,78;3213;
2019-05-08;184,20;184,30;182,30;185,40;182,30;184,50;184,188;1052877;193923049,09;2560;
2019-05-07;183,35;183,45;187,20;187,35;182,55;183,60;184,059;960866;176859224,36;2625;
2019-05-06;186,80;186,85;185,85;187,90;185,05;187,20;186,497;1364575;255091472,75;3403;
2019-05-03;194,45;194,50;195,90;195,90;193,60;195,25;194,655;1137574;221425352,61;3237;
2019-05-02;195,45;195,55;197,00;197,00;194,10;195,50;195,324;1384044;270337372,78;3562;
2019-04-30;195,40;195,45;196,50;196,95;194,80;196,20;195,683;585111;114492129,12;1105;
2019-04-29;196,55;196,65;196,90;196,90;195,20;196,45;195,953;1248516;244685978,56;2980;
2019-04-26;194,50;194,55;196,15;196,15;193,00;194,85;194,024;935579;181524360,69;2410;
2019-04-25;196,15;196,25;195,00;197,80;193,40;196,25;196,415;1778565;349269633,7;4210;
2019-04-24;194,55;194,65;193,70;194,90;192,85;194,90;193,843;1189159;230506089,14;3025;
2019-04-23;193,80;193,90;194,85;194,85;189,35;193,70;192,255;1729844;332566161,8;4791;
2019-04-18;195,35;195,40;194,30;196,25;192,65;195,15;194,753;856730;165730242,23;2267;
2019-04-17;194,30;194,40;192,00;196,30;190,15;194,55;193,786;3313220;642057133,73;7406;
2019-04-16;184,55;184,65;184,00;185,25;183,25;184,60;184,515;1225918;226200667,63;2906;
2019-04-15;182,95;183,10;183,85;184,15;182,70;183,25;183,424;1186249;217585265,25;2960;
2019-04-12;182,75;182,85;180,80;184,70;180,60;182,80;183,069;1231024;225296640,94;2739;
2019-04-11;180,80;180,85;179,70;181,15;178,85;180,80;180,411;1425940;257301661,23;2991;
2019-04-10;179,60;179,70;180,70;181,05;179,40;179,65;180,097;1641743;295573645,77;3725;
2019-04-09;180,60;180,65;182,20;182,65;180,20;180,35;181,196;1297521;235126142,74;3698;
2019-04-08;181,45;181,60;181,90;182,65;181,10;181,50;181,782;2237993;406732560,36;3074;
2019-04-05;182,35;182,45;182,80;183,55;181,90;181,95;182,396;1249600;227924165,09;3195;
2019-04-04;182,10;182,20;182,25;183,05;180,90;182,05;182,157;1358644;247486521,8;3519;
2019-04-03;181,80;181,95;179,90;183,15;179,75;182,05;182,187;1685247;306852482,25;3132;
2019-04-02;179,40;179,50;177,90;179,90;177,50;179,50;178,956;1309812;234311494,22;3144;
