sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;197,00;197,15;198,15;200,20;196,70;197,00;197,811;703120;139091717,17;2798;
2019-06-04;197,85;198,00;196,05;198,15;194,75;198,00;196,718;1543729;303675181,97;3941;
2019-06-03;196,20;196,40;194,40;196,45;193,30;196,45;195,344;917587;179233775,26;3366;
2019-05-31;194,60;194,70;200,60;201,20;193,10;194,95;196,123;1138181;223222081;4484;
2019-05-29;201,60;201,70;200,00;202,10;199,80;202,10;201,459;382342;77023026;1446;
2019-05-28;201,90;202,10;202,60;204,20;200,60;202,00;201,999;2076686;419480484,55;2975;
2019-05-27;202,30;202,50;204,90;205,70;201,80;202,90;202,845;375414;76152528,15;1589;
2019-05-24;204,10;204,20;204,90;206,70;203,60;203,90;204,862;598118;122548933,65;2468;
2019-05-23;204,20;204,30;209,40;209,40;203,70;204,70;205,472;712375;146342411,55;2876;
2019-05-22;211,30;211,40;210,50;213,50;210,40;211,80;211,666;845547;178971184,45;4000;
2019-05-21;211,00;211,30;211,00;212,10;210,00;211,40;211,033;685831;144730708,4;2194;
2019-05-20;209,00;209,20;210,70;212,00;207,40;209,10;209,207;674078;141392709,75;2461;
2019-05-17;210,10;210,30;212,50;212,80;208,60;210,50;210,192;794058;166900136,85;3372;
2019-05-16;213,00;213,10;208,00;213,50;207,70;213,00;211,143;749584;158266820,8;3455;
2019-05-15;208,50;208,70;209,00;209,50;206,10;208,60;207,585;1239006;257039983,3;3623;
2019-05-14;208,70;208,90;207,80;210,90;207,50;208,80;208,685;838075;174891606,9;3440;
2019-05-13;207,00;207,20;209,70;209,80;206,00;206,90;207,536;619132;128498108,75;2360;
2019-05-10;209,30;209,50;210,40;212,60;208,40;209,70;209,931;724898;152176903,4;3258;
2019-05-09;209,40;209,50;212,30;212,50;209,00;209,00;210,118;840323;176579509,85;3293;
2019-05-08;213,90;214,10;212,30;216,10;211,60;213,40;213,389;890739;190079119,25;2987;
2019-05-07;213,20;213,40;218,00;218,40;212,70;213,50;214,461;758232;162657311,55;2732;
2019-05-06;217,70;217,90;216,80;217,90;214,00;217,90;216,441;584336;126453667,2;2350;
2019-05-03;221,10;221,30;217,70;221,50;217,70;220,50;219,966;798155;175552278,25;3122;
2019-05-02;218,10;218,30;220,30;220,40;217,30;218,20;218,624;906257;198129394,45;3881;
2019-04-30;220,40;220,50;220,40;221,60;219,60;220,40;220,633;442453;97622695,25;1443;
2019-04-29;219,80;220,00;221,50;222,60;217,60;220,40;219,54;1191355;261562375,9;4482;
2019-04-26;219,80;220,00;219,70;220,90;218,40;219,80;219,835;1052602;231155794,55;3419;
2019-04-25;220,70;220,80;220,00;224,70;219,60;220,80;221,671;1715283;378300452,25;6106;
2019-04-24;224,50;224,90;231,80;236,70;222,10;224,80;226,507;3061896;693503049,15;11579;
2019-04-23;231,50;231,70;229,90;231,70;228,90;231,50;230,693;1276740;294511177,45;4131;
2019-04-18;230,70;230,90;228,80;231,60;227,00;230,20;229,666;539594;121594121,15;1624;
2019-04-17;229,20;229,40;228,70;230,00;227,90;229,50;229,275;771384;176853272,3;2694;
2019-04-16;229,20;229,40;226,30;231,40;226,00;229,20;229,405;1906926;437451212,1;6869;
2019-04-15;224,80;225,00;224,20;225,70;222,70;225,00;224,309;1362081;305519063,45;4347;
2019-04-12;223,40;223,50;217,40;224,10;217,10;224,10;223,024;1499103;334487117,4;5001;
2019-04-11;218,30;218,50;218,60;219,70;217,60;218,10;218,331;773248;168818349,4;2393;
