sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;614,00;614,80;618,00;625,40;607,00;614,20;617,589;319219;197176193,4;3251;
2019-06-04;614,00;614,40;598,40;614,80;593,40;614,40;608,597;237636;144611059,3;3042;
2019-06-03;593,60;594,20;588,00;596,80;575,60;594,60;585,551;234208;137143160,7;3255;
2019-05-31;585,80;586,40;612,80;613,00;584,60;588,60;594,303;577061;343023181;6415;
2019-05-29;631,80;632,00;634,40;636,00;626,80;634,00;631,032;93391;58931767,9;1206;
2019-05-28;636,40;636,80;633,40;641,00;630,00;634,40;635,682;202545;128752496,4;2319;
2019-05-27;625,20;625,60;635,00;636,00;623,00;628,60;628,033;110425;69359358,77;938;
2019-05-24;627,40;627,80;618,80;639,60;618,80;629,20;630,711;291939;184128153,4;4119;
2019-05-23;611,80;612,20;626,00;626,00;611,00;612,60;617,411;387179;239051228,9;4302;
2019-05-22;632,40;633,00;647,20;648,00;631,20;634,60;639,036;234486;149862752,9;2879;
2019-05-21;646,20;646,60;653,00;657,80;642,40;647,00;649,442;187301;121644870,1;2176;
2019-05-20;649,40;650,00;664,00;666,80;648,40;649,40;654,412;287769;188389136,2;2887;
2019-05-17;671,00;671,60;678,60;679,20;667,00;669,80;672,095;212770;143002629,2;2686;
2019-05-16;683,40;684,00;685,40;691,80;669,40;684,00;681,046;395949;269651835,5;4805;
2019-05-15;686,80;687,40;693,40;693,40;667,40;688,00;681,463;317334;216245775,6;3572;
2019-05-14;694,20;694,60;693,00;700,80;686,00;693,40;693,998;258000;179116641,7;3299;
2019-05-13;692,20;692,80;709,20;709,20;691,00;692,20;700,251;207409;145260664,7;2212;
2019-05-10;705,60;706,00;711,60;715,60;701,20;707,00;708,314;195952;138810048,4;1984;
2019-05-09;708,40;708,80;721,00;724,00;705,80;710,20;710,74;340030;241701927,61;4094;
2019-05-08;732,00;732,40;721,20;732,80;721,20;732,00;728,791;122648;89385323,7;1408;
2019-05-07;721,40;722,00;739,20;739,20;718,80;721,20;723,33;287761;208142911,6;3289;
2019-05-06;734,80;735,40;735,80;737,20;718,40;737,20;727,319;187905;136657305,2;2518;
2019-05-03;746,40;746,80;750,20;754,00;744,80;747,00;748,048;194057;145151144,2;2643;
