sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;189,55;189,65;187,35;191,15;186,60;189,90;189,75;1967276;373291366,07;4545;
2019-06-04;186,95;187,00;186,50;187,65;184,85;187,65;186,682;2508085;468231880,5;5499;
2019-06-03;187,25;187,35;184,35;187,40;184,15;187,40;186,145;2177217;405257861,11;4410;
2019-05-31;184,60;184,65;188,55;188,85;183,00;185,20;185,16;3694703;684117682,32;6382;
2019-05-29;189,00;189,10;191,20;191,20;188,30;189,35;189,386;777907;147320663,43;1921;
2019-05-28;192,20;192,25;193,10;194,20;192,05;192,90;192,861;1868026;360263269,72;3061;
2019-05-27;193,55;193,70;194,95;196,05;192,95;193,40;193,525;683958;132365021,2;1690;
2019-05-24;194,20;194,25;194,00;195,35;193,40;193,95;194,229;1447636;281173676,21;3238;
2019-05-23;192,55;192,65;194,40;195,30;192,55;192,55;193,433;1664624;322001827,42;4315;
2019-05-22;196,55;196,60;195,00;197,15;193,80;196,50;196,103;1780626;349183734,58;4055;
2019-05-21;194,70;194,80;195,85;196,55;194,65;194,95;195,368;1190706;232637753,27;2853;
2019-05-20;194,40;194,50;196,15;196,45;193,95;194,80;194,811;1344296;262036577,02;3353;
2019-05-17;196,30;196,35;198,15;198,35;194,95;196,30;196,075;1581320;310053910,98;4443;
2019-05-16;197,75;197,80;195,95;198,10;194,80;198,10;196,964;1594144;313980797,25;3909;
2019-05-15;195,40;195,50;197,60;197,60;192,85;195,10;194,571;1617896;314726764,92;3812;
2019-05-14;195,65;195,75;195,55;196,20;193,45;196,20;195,636;1119678;219040338,29;2374;
2019-05-13;193,85;194,00;195,55;195,85;192,75;193,65;193,907;1517461;294250916,66;3699;
2019-05-10;195,15;195,25;198,95;199,95;194,00;195,55;196,186;3368076;660764714,37;7524;
2019-05-09;197,80;197,90;199,55;200,40;197,65;197,95;198,586;1231737;244624240,86;3194;
2019-05-08;200,40;200,50;198,85;201,40;198,55;201,10;200,445;2138392;428605930,62;5204;
2019-05-07;199,35;199,40;202,90;204,30;199,10;199,45;200,563;2001737;401493872,27;4578;
2019-05-06;203,00;203,20;202,70;203,10;199,30;202,80;201,624;1640883;330823434,26;3810;
2019-05-03;205,50;205,60;203,00;205,60;202,80;205,20;205,072;2153423;441602918,1;4029;
2019-05-02;202,40;202,60;202,60;204,60;200,90;202,50;202,746;2713241;550101786,95;5506;
2019-04-30;203,10;203,20;202,50;204,70;202,20;202,60;202,894;1132534;229787483;2293;
2019-04-29;204,70;204,80;203,90;205,10;202,70;204,50;204,169;1533726;311869873,75;2639;
2019-04-26;202,60;202,80;203,10;204,70;201,30;203,00;202,782;2375573;477128612;5397;
2019-04-25;205,60;205,80;204,80;209,50;202,30;206,80;206,529;3802282;785322796,95;9660;
2019-04-24;210,30;210,50;210,60;211,60;208,00;211,10;210,392;2169176;456363288,75;4577;
2019-04-23;209,90;210,10;210,40;210,40;206,60;210,30;209,173;2425608;507352377,6;5386;
2019-04-18;209,70;209,80;206,10;210,80;203,10;210,40;209,213;1024315;213011849;2299;
2019-04-17;205,70;205,80;205,60;206,50;204,10;206,10;205,641;1486936;305768523,75;3277;
2019-04-16;205,00;205,10;206,90;207,70;203,90;205,40;205,453;1746678;358858141,55;4366;
2019-04-15;206,00;206,20;207,30;207,40;205,20;206,00;206,111;1701980;350802857,55;3585;
2019-04-12;207,20;207,40;206,30;207,60;205,50;207,10;206,928;2041768;422555704,55;3400;
2019-04-11;206,00;206,20;206,20;207,10;205,10;206,00;206,082;1682804;346799121,25;3510;
2019-04-10;206,10;206,30;203,70;206,80;203,70;206,40;206,032;1869015;385058112,65;3382;
2019-04-09;203,60;203,80;204,30;205,80;202,90;203,40;203,941;1386535;282775645,6;3525;
2019-04-08;203,80;204,00;202,50;204,30;201,20;204,30;203,513;1351134;274949709,5;2923;
2019-04-05;202,50;202,70;203,80;203,80;201,50;202,50;202,399;1554800;314690313;3144;
2019-04-04;202,40;202,60;204,00;204,50;202,20;203,30;203,221;1451976;295070587,8;2270;
2019-04-03;202,20;202,30;198,50;203,10;198,40;203,10;201,994;2052882;414624405,91;3469;
2019-04-02;197,40;197,50;198,45;199,50;196,70;197,50;197,714;2429791;480408885,12;6660;
2019-04-01;202,30;202,40;201,70;203,30;200,15;202,45;201,939;1852295;374027269,16;5045;
2019-03-29;199,70;199,80;201,50;202,20;199,05;200,70;200,539;2081395;417401924,11;3014;
2019-03-28;200,10;200,20;197,35;200,30;197,15;200,20;199,645;2209768;441158005,37;5247;
2019-03-27;196,80;196,95;194,70;198,15;194,25;197,30;196,884;1546231;304437933,36;3763;
2019-03-26;194,50;194,60;194,50;194,90;192,25;194,15;193,776;1710658;331480947,21;4247;
2019-03-25;194,15;194,25;193,80;194,50;192,15;193,70;193,714;1251205;242378690,31;3272;
2019-03-22;193,90;194,05;198,00;199,00;193,60;194,05;194,717;1530342;297982830,4;3944;
2019-03-21;197,30;197,40;196,55;197,70;195,30;197,60;197,051;1341260;264293576,14;4299;
2019-03-20;196,85;196,95;196,90;197,70;196,10;196,55;196,795;1516981;298532902,47;3930;
2019-03-19;196,95;197,10;197,00;198,55;196,35;197,00;197,147;2492578;491391974,29;5519;
2019-03-18;197,15;197,20;198,60;198,65;196,20;197,60;197,495;1212161;238548160,69;2794;
2019-03-15;198,65;198,85;197,65;199,70;196,70;198,50;198,515;3062773;608002411,4;7103;
2019-03-14;197,10;197,20;195,65;197,40;195,05;197,40;196,802;1775914;349497119,86;3956;
2019-03-13;194,90;195,05;192,85;195,60;192,20;195,00;194,836;1573411;306552800,45;3200;
2019-03-12;193,75;193,85;193,60;194,60;192,90;193,20;193,508;1524736;295055222,96;2609;
2019-03-11;193,00;193,10;194,00;194,15;190,80;192,95;192,03;2146769;412177553,15;4474;
2019-03-08;193,90;194,00;190,80;193,90;189,70;193,75;192,582;1903973;366627100,62;5468;
2019-03-07;191,65;191,70;195,00;195,00;191,00;191,90;193,002;3606061;696032380,49;7384;
