sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;261,40;261,50;260,90;265,40;259,30;262,20;262,94;1815613;477399151,6;6642;
2019-06-04;260,40;260,50;257,90;260,80;255,30;260,60;258,907;2343365;606672693,05;6822;
2019-06-03;258,20;258,40;253,70;258,40;252,70;258,40;256,466;1566997;401857353,65;4913;
2019-05-31;255,30;255,40;257,60;259,90;253,20;255,90;255,919;2355249;602748988,45;7264;
2019-05-29;260,10;260,20;259,70;262,40;258,90;260,20;260,395;898308;233912438,55;3415;
2019-05-28;264,10;264,30;265,30;266,70;262,40;264,50;264,295;2961050;782475823,45;6158;
2019-05-27;264,10;264,30;266,20;267,50;263,30;264,10;264,34;709943;187671710,25;2790;
2019-05-24;265,40;265,50;264,60;268,60;264,60;265,50;266,518;1211049;322779878,6;5013;
2019-05-23;263,60;263,70;272,80;273,30;263,50;264,60;266,593;2257359;601681460,74;6764;
2019-05-22;274,60;274,80;278,10;279,10;273,80;275,70;276,133;1370687;378484046,3;4702;
2019-05-21;277,90;278,00;276,70;280,20;275,30;278,10;278,388;2043044;568761080,55;6690;
2019-05-20;271,90;272,10;277,10;277,80;270,00;272,30;273,135;1975183;539613095,75;7105;
2019-05-17;278,10;278,20;281,80;282,40;276,50;278,90;278,365;1743685;485370221,65;6427;
2019-05-16;281,40;281,60;275,00;282,40;274,00;282,40;279,356;2541811;710029780,6;8446;
2019-05-15;273,20;273,40;274,80;275,00;269,00;273,60;272,33;1534390;417845612,95;3763;
2019-05-14;273,30;273,50;270,40;274,20;270,10;272,50;272,58;1540572;419949036,85;4501;
2019-05-13;268,90;269,10;279,00;279,00;267,90;269,00;270,884;2644324;716677649,35;8722;
2019-05-10;278,10;278,20;278,70;282,70;276,20;279,00;279,30;1444909;403578640,05;4958;
2019-05-09;277,30;277,40;280,20;281,10;276,80;277,20;278,334;1379071;383845342,95;4549;
2019-05-08;283,20;283,30;280,40;284,80;279,70;283,10;282,162;2897547;817480087,2;9368;
2019-05-07;280,70;280,90;286,60;288,00;280,50;281,60;283,684;2303697;653743189,35;7986;
2019-05-06;286,00;286,20;284,70;286,60;281,30;286,60;284,304;1953809;555425906,65;7341;
2019-05-03;291,50;291,70;289,00;292,70;288,90;291,60;291,455;2230820;650163982,05;8085;
2019-05-02;287,40;287,60;295,20;295,20;287,50;288,50;290,489;3400899;987962898;11309;
2019-04-30;295,80;296,00;296,50;299,00;295,20;295,20;296,271;1196608;354522893,25;3732;
2019-04-29;296,60;296,70;293,90;297,10;292,50;297,00;295,755;1793453;530474984,55;5875;
2019-04-26;293,20;293,40;296,80;299,50;290,80;293,60;294,239;3804069;1118106039,65;13667;
2019-04-25;299,90;300,10;284,50;311,90;280,30;300,00;299,951;5401445;1620976005,7;19711;
2019-04-24;284,60;284,80;284,30;288,20;282,80;285,70;285,756;2370769;677455705,65;7400;
2019-04-23;283,50;283,70;279,40;284,30;278,70;284,30;282,543;2249856;635627833,55;7058;
2019-04-18;282,40;282,60;276,80;282,90;276,00;282,50;280,194;1597324;440503386,5;5793;
2019-04-17;278,30;278,40;273,50;279,90;273,40;279,00;277,949;1744726;484948062,8;6430;
2019-04-16;275,30;275,40;275,80;278,00;274,50;276,00;276,238;1570810;433884775,85;5607;
2019-04-15;274,00;274,10;274,40;275,60;272,30;274,50;274,173;1617127;443350758,7;5614;
