sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;237,00;237,20;234,00;238,60;232,90;238,00;237,337;1213896;288103111,75;4948;
2019-06-04;233,60;233,80;232,00;234,00;229,60;233,90;231,771;1475942;341938964,7;4109;
2019-06-03;232,20;232,40;229,00;232,60;227,20;232,60;230,416;710059;163634966,6;2747;
2019-05-31;229,70;229,90;232,70;233,70;228,40;230,30;230,448;1105135;254678203,1;4388;
2019-05-29;234,00;234,10;235,00;236,50;233,00;234,00;234,378;591903;138728819,9;2497;
2019-05-28;237,50;237,60;237,70;239,80;235,70;238,10;237,716;1764104;419332483,45;4368;
2019-05-27;237,10;237,20;238,70;241,10;236,40;237,20;237,505;442178;105016926,75;2146;
2019-05-24;238,30;238,50;237,30;241,90;237,30;238,30;239,679;664664;159309215,15;3277;
2019-05-23;236,80;237,10;248,00;248,00;236,70;237,30;240,088;1311243;314962389,61;6676;
2019-05-22;248,80;249,00;252,30;253,30;248,10;249,40;250,293;615418;154055652,2;3284;
2019-05-21;252,30;252,40;250,00;254,60;250,00;252,30;252,814;745647;188509332,25;3846;
2019-05-20;247,30;247,40;252,50;252,80;245,70;247,30;248,48;731662;181801467,5;3527;
2019-05-17;253,60;253,80;257,60;258,30;251,90;254,00;253,754;564555;143252999,75;2842;
2019-05-16;256,70;256,90;250,00;257,60;250,00;257,60;254,281;743947;189175509,2;4037;
2019-05-15;249,80;250,00;251,40;252,00;245,80;250,00;248,943;551024;137172247,25;2390;
2019-05-14;250,00;250,20;247,30;251,10;247,30;249,80;249,776;403349;100746328,35;1827;
2019-05-13;246,20;246,40;255,00;255,00;245,70;246,10;248,345;707441;175718281,15;3111;
2019-05-10;253,90;254,10;254,00;258,40;252,20;255,10;255,333;582399;148708142,95;2555;
2019-05-09;253,30;253,40;256,80;257,50;252,80;254,00;255,063;645154;164572268,8;2831;
2019-05-08;259,30;259,50;255,40;260,40;254,50;260,00;257,517;2013060;518387659,1;5516;
2019-05-07;256,70;256,80;262,70;264,60;256,60;257,10;259,155;658637;170699794,05;2616;
2019-05-06;262,30;262,50;264,10;264,10;258,30;263,10;261,021;845034;220523275,5;4585;
2019-05-03;268,60;268,70;264,50;269,00;264,50;268,80;267,575;709549;189858527,7;3561;
2019-05-02;264,00;264,20;270,30;270,30;264,20;265,00;266,802;1158835;309506802,95;4406;
2019-04-30;270,60;270,70;271,40;274,00;270,30;270,30;271,372;645656;175123836,5;2016;
2019-04-29;271,40;271,60;269,00;272,20;268,00;271,20;270,627;1112509;301087024,9;4781;
2019-04-26;267,90;268,10;274,00;275,30;266,00;268,70;269,849;2501335;676147163,65;10818;
