sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;724,70;725,00;728,50;730,30;721,80;725,90;725,359;217690;157903001,6;2773;
2019-06-04;728,00;728,30;718,10;729,10;715,30;728,50;724,436;585606;424229025,45;4841;
2019-06-03;720,20;720,40;706,00;722,50;700,00;721,30;715,252;457219;327010703,15;4894;
2019-05-31;708,60;708,90;715,00;719,20;706,10;709,30;710,465;690377;490489916,85;5463;
2019-05-29;723,00;723,20;727,20;729,30;721,20;723,00;724,893;160615;116426127,7;1651;
2019-05-28;732,20;732,40;738,90;743,80;732,00;732,00;735,804;344246;253301832,3;4096;
2019-05-27;738,60;738,90;746,00;747,60;736,10;736,10;740,235;147685;109323748,95;1623;
2019-05-24;746,70;746,90;743,10;748,30;736,90;746,00;744,362;214610;159747448,75;2632;
2019-05-23;743,50;743,90;733,50;749,00;732,00;743,30;744,773;379845;282907432,62;3520;
2019-05-22;733,00;733,30;731,10;736,60;724,20;733,50;730,849;231128;168923863,65;2536;
2019-05-21;730,10;730,30;729,20;732,80;723,90;730,40;729,153;180646;131699129,7;1690;
2019-05-20;725,00;725,30;730,00;732,40;720,90;725,40;725,254;276011;203470922,1;1765;
2019-05-17;729,60;729,80;728,50;736,60;725,30;730,30;730,294;234431;171127903,79;2505;
2019-05-16;733,10;733,30;726,90;733,40;720,30;733,40;726,646;301547;219119112,7;3199;
2019-05-15;727,20;727,50;726,90;728,90;723,40;727,50;725,912;155559;112922725,1;1894;
2019-05-14;726,20;726,50;721,40;731,20;719,40;726,00;726,743;235061;170829879,7;1826;
2019-05-13;718,00;718,30;723,40;727,10;716,10;718,80;720,354;315060;226955885,55;2867;
2019-05-10;723,90;724,20;739,00;739,60;721,20;724,10;730,278;383531;280088545,95;3137;
2019-05-09;741,10;741,20;738,90;752,10;738,70;741,00;745,53;473283;352849647,75;4810;
2019-05-08;739,20;739,40;729,20;741,80;727,00;740,00;735,436;319072;234658112,45;3167;
2019-05-07;730,20;730,40;735,00;741,90;729,70;730,00;734,328;318902;234203682,3;3459;
2019-05-06;731,50;731,60;724,00;733,50;723,50;731,50;729,972;172539;125949356,45;1674;
2019-05-03;731,50;731,70;722,50;736,30;721,20;731,70;730,789;660809;482253811,65;6254;
2019-05-02;718,90;719,20;722,80;724,20;712,80;719,90;719,865;778264;560210599,05;7104;
2019-04-30;729,50;729,70;728,50;733,00;726,00;733,00;731,274;274537;200753101,8;2744;
2019-04-29;729,50;729,80;726,40;736,90;724,50;730,80;729,971;396736;289624800,35;3629;
2019-04-26;719,00;719,20;747,00;753,60;713,90;721,20;728,049;687470;500492807,7;6256;
2019-04-25;735,10;735,40;732,00;739,50;727,70;735,90;735,224;322627;237196109,8;3130;
2019-04-24;726,90;727,10;728,70;733,50;724,70;728,10;728,208;426566;310622302,35;4183;
2019-04-23;727,80;728,10;722,80;729,70;717,90;727,80;725,248;381366;276574755,05;4640;
2019-04-18;722,20;722,60;719,50;723,70;715,40;723,20;720,325;251373;181400907,2;2340;
2019-04-17;721,80;721,90;730,60;731,50;718,50;723,70;722,843;519971;375857440,9;4893;
2019-04-16;737,40;737,50;737,00;743,40;736,70;737,00;739,452;376548;278401298,3;3540;
2019-04-15;736,20;736,40;735,90;737,00;729,70;737,00;734,779;301593;221613170,45;3135;
2019-04-12;736,60;737,00;740,00;745,20;731,40;737,20;736,88;475105;350056660,1;3588;
2019-04-11;739,20;739,30;754,00;754,60;737,20;740,20;744,326;411109;306234975,2;3973;
2019-04-10;755,10;755,50;752,00;758,70;751,70;755,70;755,279;380464;287291356,8;3252;
2019-04-09;753,70;754,10;757,80;759,60;750,50;753,20;754,672;197735;149225657,75;2115;
2019-04-08;755,40;755,80;756,00;762,00;752,70;756,50;757,714;275221;208619642,05;2651;
2019-04-05;755,10;755,30;752,30;756,00;747,00;756,00;752,433;378191;284545228,45;2927;
2019-04-04;752,70;752,90;757,30;765,50;751,60;753,30;756,058;395631;299284942,98;3299;
2019-04-03;761,00;761,40;775,00;777,00;757,00;762,40;763,713;470871;359562787,65;4105;
2019-04-02;771,20;771,50;749,30;774,40;743,60;772,50;763,643;523332;399623757;4579;
2019-04-01;765,10;765,40;755,00;773,70;755,00;765,20;766,959;557530;427601107,9;6101;
2019-03-29;751,90;752,10;764,50;771,10;742,80;752,30;757,224;1334357;1010353065,25;11344;
2019-03-28;800,80;801,10;788,00;805,50;788,00;800,90;800,664;337832;270486948,75;3332;
2019-03-27;786,70;787,00;793,00;796,70;783,90;788,00;787,718;220860;173977345,9;2314;
2019-03-26;792,40;792,80;788,00;795,80;785,00;792,00;792,471;348372;276079979,3;3971;
2019-03-25;786,70;786,90;782,90;788,00;780,60;785,50;783,77;188938;148083240,35;2637;
2019-03-22;789,10;789,50;790,00;793,60;785,20;788,60;789,982;272607;215353630,05;2871;
2019-03-21;793,10;793,50;783,80;794,10;783,00;792,70;788,191;169645;133709859,3;2048;
2019-03-20;788,20;788,50;788,70;794,00;786,80;787,00;789,509;267103;210889253,5;2696;
2019-03-19;787,10;787,40;788,80;793,90;786,50;787,90;789,914;339812;268494561,6;3104;
2019-03-18;785,60;785,90;777,20;787,70;777,20;787,00;784,819;203423;159569466,3;1841;
2019-03-15;780,30;780,50;786,80;787,00;778,20;781,50;782,037;594211;464685575,05;6138;
2019-03-14;789,10;789,40;786,60;790,50;784,00;789,40;787,655;345582;272198392,55;3339;
2019-03-13;782,60;782,90;781,00;786,60;779,70;782,20;783,188;271559;212679547,3;2706;
2019-03-12;781,00;781,20;788,50;789,60;778,00;781,20;781,794;356102;278384220,32;3960;
2019-03-11;788,50;788,80;782,50;788,70;779,90;788,50;785,683;242828;190783934,3;2434;
2019-03-08;782,80;783,20;784,00;791,50;779,90;782,50;783,697;322989;253124646,75;3409;
2019-03-07;780,20;780,60;779,80;783,00;776,50;780,70;780,111;280982;219195506,7;3151;
2019-03-06;779,20;779,60;783,60;788,80;778,30;779,00;783,279;271228;212447723,05;3024;
2019-03-05;781,90;782,20;775,00;782,90;770,60;782,30;777,575;460683;358207069,95;4841;
2019-03-04;774,80;775,10;768,40;777,80;765,80;774,00;772,377;417841;322723767,95;3675;
2019-03-01;767,90;768,20;772,70;773,30;761,50;768,40;767,713;281143;215837590,1;2806;
2019-02-28;766,10;766,30;770,00;773,40;758,20;765,20;763,897;342978;261693781,35;3382;
2019-02-27;782,20;782,50;781,30;783,00;774,30;783,00;779,419;297328;231677964,15;2893;
2019-02-26;782,60;783,00;777,90;783,60;768,70;783,60;776,827;310416;241139635,3;3055;
2019-02-25;775,90;776,10;765,30;777,30;761,40;775,80;770,909;345096;266017565,45;3597;
2019-02-22;764,20;764,50;753,00;766,60;752,60;764,70;760,835;264882;201521515;2859;
2019-02-21;754,10;754,30;759,90;763,50;752,50;753,80;757,09;464243;351477426,25;5197;
2019-02-20;758,90;759,30;752,90;762,30;747,80;758,80;754,175;412087;310781765,3;4270;
2019-02-19;749,90;750,30;746,10;753,10;741,80;750,50;748,608;568701;425714165,7;5998;
2019-02-18;746,70;747,10;753,60;757,70;745,40;745,70;749,844;492100;363302649,5;3967;
2019-02-15;752,10;752,40;741,00;753,50;739,10;753,10;746,793;669720;500107476,05;7362;
2019-02-14;743,70;744,00;700,10;745,00;700,10;741,50;727,254;908827;660924378,5;8315;
2019-02-13;684,30;684,50;690,80;692,00;680,00;685,00;684,463;433656;296817570,5;4266;
2019-02-12;690,30;690,60;686,90;693,00;685,20;691,20;689,822;337412;232748895,1;2921;
2019-02-11;683,70;683,90;689,00;689,00;680,10;685,20;684,648;344085;235593203,7;3618;
2019-02-08;688,30;688,60;682,60;690,40;682,30;688,10;686,738;322292;221331294,55;3362;
2019-02-07;682,70;682,90;681,30;690,80;678,80;682,10;686,001;373993;256559768,15;3419;
2019-02-06;681,20;681,40;677,50;682,50;674,20;681,30;678,688;309286;209908781,05;2754;
2019-02-05;677,80;678,10;673,00;679,80;667,20;677,80;674,799;266683;179956263,15;2529;
2019-02-04;668,90;669,20;668,20;674,00;665,90;668,60;669,995;226894;152019316,45;2604;
2019-02-01;665,50;665,80;663,50;668,20;661,00;664,40;664,502;302160;200785872,35;2884;
2019-01-31;663,10;663,30;655,00;665,50;655,00;663,00;660,956;463253;306190847,45;4069;
2019-01-30;654,70;654,90;646,40;658,70;645,00;654,50;654,699;307057;201036303,4;3290;
2019-01-29;647,70;648,00;643,90;655,30;641,30;646,90;649,941;397320;258241895,7;4310;
