sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;220,20;220,40;222,90;223,85;219,10;219,95;221,475;1807375;400310595,68;7527;
2019-06-04;222,20;222,35;216,90;224,95;215,50;221,50;222,034;2633385;584705176,69;10612;
2019-06-03;217,60;217,80;214,00;218,40;211,60;217,25;215,009;2080843;447373100,63;8028;
2019-05-31;215,40;215,65;216,00;216,30;211,15;216,30;214,51;2467175;529224766,59;8161;
2019-05-29;218,10;218,30;219,75;220,15;217,20;217,85;218,491;1044716;228263506,61;4062;
2019-05-28;222,70;222,80;223,00;226,20;221,95;222,05;223,091;1643193;366587775,31;5831;
2019-05-27;221,80;222,00;224,60;226,00;221,20;223,00;223,037;420923;93875102,15;2078;
2019-05-24;223,40;223,50;222,00;225,90;221,90;222,85;223,575;1057490;236440847,8;4916;
2019-05-23;220,35;220,55;227,10;227,50;220,25;220,25;222,031;2170341;481917681,39;8710;
2019-05-22;231,40;231,60;233,20;233,70;230,60;231,40;231,698;1105063;256047008,3;4080;
2019-05-21;233,90;234,10;230,00;234,80;229,70;234,00;232,919;1342473;312755012,65;4611;
2019-05-20;228,80;229,00;233,70;233,70;227,20;229,40;229,69;1187700;280147643,1;4315;
2019-05-17;233,70;233,80;235,80;236,10;231,40;233,90;233,161;945020;220329478,7;4724;
2019-05-16;237,80;238,00;232,80;238,30;229,90;237,30;235,18;1524855;358801940,92;5336;
2019-05-15;232,50;232,70;236,50;236,90;228,20;232,80;231,372;1627311;376489168,83;5776;
2019-05-14;233,30;233,50;231,00;233,90;230,30;233,70;232,586;1197674;278574969,1;4047;
2019-05-13;229,10;229,20;237,80;237,80;228,70;229,20;231,557;1389735;321742857,25;6139;
2019-05-10;237,40;237,60;238,20;241,90;236,10;238,20;239,244;1434954;343347462,35;6955;
2019-05-09;235,60;235,70;242,00;242,00;234,70;235,50;236,897;1607508;380855925,05;6150;
2019-05-08;244,10;244,30;240,00;246,60;238,70;243,20;242,215;2066270;500376437,55;8593;
2019-05-07;240,50;240,60;250,30;250,50;239,80;241,30;242,978;2679941;651183610,2;11289;
2019-05-06;250,80;251,00;250,00;253,70;246,80;251,00;249,761;2305954;575477771,15;10279;
2019-05-03;272,10;272,30;271,40;275,00;267,10;270,50;271,178;2838848;770153018,95;10428;
2019-05-02;273,80;274,00;280,00;280,00;272,10;272,30;273,956;2925907;801298128,75;12160;
2019-04-30;281,70;282,00;284,00;286,00;280,80;282,00;282,598;1586337;448324707,35;5210;
2019-04-29;289,00;289,10;287,00;289,10;286,00;288,00;287,81;1206611;347242475,53;4700;
2019-04-26;286,60;286,80;285,40;288,10;283,80;286,60;286,455;1026120;293934817,95;3929;
2019-04-25;285,50;285,60;287,70;288,50;284,30;285,30;286,023;1378624;394326485,55;5584;
2019-04-24;286,80;287,00;288,60;288,70;284,50;287,40;286,932;1297275;372226206,5;4735;
2019-04-23;288,50;288,60;286,60;288,90;285,60;288,50;287,624;1388455;399312636,7;5761;
2019-04-18;286,90;287,10;288,50;288,50;284,00;286,60;286,461;1161541;318067274,35;3067;
2019-04-17;288,50;288,70;286,60;291,70;285,00;289,50;289,522;991177;286958708,5;4088;
2019-04-16;286,20;286,40;288,20;290,70;284,90;286,50;287,307;1353829;389043407,75;5276;
2019-04-15;287,30;287,50;288,00;290,00;286,90;287,30;288,048;957177;275640283,85;4378;
2019-04-12;287,60;287,90;282,20;289,60;279,80;287,80;286,913;1537057;441150485,85;5854;
2019-04-11;282,40;282,60;278,10;283,90;275,40;282,20;281,157;1296920;364634777,25;5768;
2019-04-10;283,60;283,80;281,00;286,00;281,00;283,40;283,654;1258321;356959879,6;4168;
2019-04-09;281,30;281,50;284,50;285,30;278,90;280,90;281,475;1337517;376491127,9;5325;
2019-04-08;283,90;284,00;285,00;286,10;280,80;283,90;283,875;1467786;416657703,69;5406;
2019-04-05;284,10;284,30;281,20;287,70;281,10;283,90;284,168;1132845;321869232,95;4826;
2019-04-04;278,90;279,20;282,50;282,50;278,20;279,20;279,769;1203272;336643203,4;4986;
2019-04-03;283,30;283,50;278,60;284,10;278,50;283,70;282,724;1789560;505932347,45;6915;
2019-04-02;274,60;274,80;275,00;278,80;273,20;275,30;274,947;1449912;398648983,5;6315;
2019-04-01;274,30;274,50;267,60;274,65;267,60;274,60;272,77;2099164;572525685,42;8097;
2019-03-29;263,70;263,75;262,50;265,50;262,50;264,60;264,391;1511070;399515514,43;6052;
2019-03-28;260,10;260,35;259,00;263,15;257,95;259,65;260,779;1477508;385323453,17;6321;
2019-03-27;255,65;255,90;253,45;259,90;253,00;256,20;256,545;1530832;392861971,41;6196;
2019-03-26;252,15;252,25;250,85;253,35;250,25;252,45;252,28;976943;246474273,54;4630;
2019-03-25;251,00;251,20;249,95;251,20;246,60;250,60;249,462;1077277;268699642,87;5190;
2019-03-22;251,30;251,40;258,00;258,95;251,15;251,40;253,526;1132400;287100938,83;5297;
2019-03-21;257,35;257,55;256,00;263,25;255,75;257,15;259,382;1558561;404293650,94;6879;
2019-03-20;255,30;255,50;250,90;255,90;250,15;255,00;254,089;1373072;348668080,79;5611;
2019-03-19;252,40;252,60;249,05;252,85;247,05;252,85;251,606;1794522;450120523,19;6247;
2019-03-18;247,55;247,75;246,00;249,30;245,15;248,05;247,947;2179949;530992261,09;3871;
2019-03-15;244,30;244,45;246,80;247,00;243,35;244,80;244,721;1692152;414098185,18;5834;
2019-03-14;245,95;246,10;245,25;248,10;243,75;245,75;245,617;1261707;309897925,79;4845;
2019-03-13;245,20;245,40;241,90;246,00;241,10;245,60;245,024;2148630;526404468,62;6470;
2019-03-12;242,60;242,75;243,75;246,50;242,20;242,20;243,394;1789089;435482154,38;5300;
2019-03-11;241,75;241,90;240,05;241,90;238,15;241,40;240,443;1232573;296351741,87;5408;
2019-03-08;240,95;241,10;243,00;243,00;237,50;240,85;240,275;2141481;514471054,12;8477;
2019-03-07;244,65;244,75;251,95;251,95;243,80;245,30;246,891;2006322;496011760,72;7037;
2019-03-06;253,10;253,25;252,80;255,75;251,75;253,25;253,325;1114097;282229687,44;4574;
2019-03-05;253,50;253,65;255,00;255,15;252,70;253,00;253,482;1149967;291495981,48;4735;
2019-03-04;254,80;254,90;254,00;255,80;253,25;254,10;254,54;1581038;402437547,96;5677;
2019-03-01;251,65;251,80;254,00;254,50;251,60;252,15;252,706;1091358;275796362,81;4700;
2019-02-28;252,60;252,70;252,20;253,00;249,50;252,75;251,691;2083060;524273425,39;9012;
2019-02-27;253,40;253,60;253,00;253,90;251,45;253,55;253,066;1530111;387220588,58;5758;
2019-02-26;253,45;253,65;251,75;253,65;248,95;253,55;252,079;1311270;330444957,24;5470;
2019-02-25;251,60;251,80;254,00;256,30;250,05;251,75;253,04;1798421;455079119,86;7884;
2019-02-22;251,50;251,60;249,80;253,45;249,30;251,85;251,55;2110216;530767639,69;7425;
2019-02-21;248,60;248,80;246,10;250,30;244,30;248,50;247,942;2066782;512469590,25;7977;
2019-02-20;246,25;246,40;239,20;246,40;238,60;245,90;242,744;2184962;530330662,05;7697;
2019-02-19;238,30;238,40;238,00;238,65;235,80;237,95;237,578;1652762;392668658,15;4961;
2019-02-18;238,70;238,80;239,60;241,50;237,55;238,50;238,926;1442026;339911974,47;4627;
2019-02-15;238,95;239,15;233,00;240,75;231,40;238,90;237,918;2426817;577372644,25;9314;
2019-02-14;233,15;233,30;235,90;235,95;229,25;233,05;233,096;1760716;410433907,87;7139;
2019-02-13;234,15;234,35;232,05;236,50;227,10;234,30;233,43;2658034;620445633;10202;
2019-02-12;229,40;229,50;231,60;232,70;228,75;229,75;230,056;1581756;363868339,62;6213;
2019-02-11;229,45;229,65;226,80;231,20;226,10;229,45;229,291;1594825;365687202,73;6243;
2019-02-08;225,60;225,75;227,00;230,40;224,80;225,90;227,058;1528338;347040017,36;5271;
2019-02-07;227,75;227,90;231,35;233,55;227,65;227,65;230,598;1741717;401649602,83;6853;
2019-02-06;231,75;231,95;230,75;232,10;229,80;231,35;231,066;1107175;255829679,29;4271;
2019-02-05;230,55;230,70;228,35;231,25;228,10;230,55;230,037;1139028;262036550,68;4379;
2019-02-04;227,15;227,30;228,70;228,80;225,95;226,60;226,746;1174590;266250036,63;4124;
2019-02-01;227,80;227,95;226,65;229,20;225,00;228,20;227,797;1122960;255806312,85;4404;
2019-01-31;225,90;226,00;226,00;227,60;224,20;225,80;225,679;1658233;374239670,59;5808;
2019-01-30;223,70;223,85;220,65;226,55;220,50;223,85;224,453;1585325;355837584,43;5792;
2019-01-29;218,75;218,85;217,35;221,35;217,30;219,20;219,708;1238815;272181506,52;4914;
2019-01-28;216,85;216,95;219,80;219,80;215,85;217,35;217,537;1340968;291690462,23;5524;
2019-01-25;218,85;218,95;215,90;219,80;215,00;219,50;218,544;1753156;383139308,27;6102;
2019-01-24;214,15;214,25;214,55;216,50;213,35;214,55;214,731;1110840;238530183,43;3730;
2019-01-23;215,00;215,10;212,40;216,80;211,35;215,05;215,088;1348680;289986937,99;4446;
2019-01-22;213,40;213,50;213,50;214,75;211,90;213,75;213,555;1487116;317325908,75;4532;
2019-01-21;214,20;214,30;217,65;218,90;213,80;214,35;215,843;1167876;251636913,61;4846;
2019-01-18;217,00;217,15;217,40;218,45;214,60;217,65;216,887;2818631;611214504,72;8506;
2019-01-17;211,95;212,10;210,10;213,20;208,35;211,95;211,379;1124560;237704829,55;4985;
2019-01-16;211,05;211,20;208,80;211,75;207,50;211,05;210,04;1983547;416612971,77;7649;
2019-01-15;203,30;203,50;206,00;207,85;202,70;203,75;204,951;1059031;217023108,11;4204;
2019-01-14;204,00;204,15;202,10;204,45;200,30;204,00;203,009;909035;184465783,01;3360;
2019-01-11;203,40;203,55;206,90;207,30;201,95;203,35;203,782;1799487;366811655,98;6265;
2019-01-10;206,15;206,25;205,50;207,40;199,70;206,00;204,803;2052182;420385554,27;7319;
2019-01-09;205,20;205,35;201,80;209,30;201,15;205,60;206,272;2088222;430727640,41;7616;
2019-01-08;199,46;199,50;197,00;201,90;196,50;200,10;199,618;1735561;346312514,37;5849;
2019-01-07;196,92;197,00;197,00;199,00;194,10;197,08;196,362;1264989;248386984,17;4800;
2019-01-04;193,76;193,86;185,04;194,86;184,54;194,28;191,035;1987227;379615034,15;8524;
2019-01-03;182,76;182,88;186,90;186,90;181,92;182,92;184,33;1297654;239199925,91;6382;
2019-01-02;187,18;187,26;191,00;191,00;181,52;187,04;185,011;2073609;383079029,95;9641;
2018-12-28;191,42;191,50;191,60;194,22;190,80;191,98;192,442;1408287;271012728,31;4645;
2018-12-27;189,02;189,16;192,06;196,88;187,80;189,10;190,258;1414234;270483840,36;5807;
2018-12-21;189,98;190,08;192,76;193,36;189,48;190,18;191,058;2388639;456383391,65;9317;
2018-12-20;192,50;192,58;195,00;195,80;192,20;192,40;193,519;1890504;365879819,74;7299;
2018-12-19;200,55;200,65;200,50;201,75;199,20;200,60;200,584;1570516;315021038,59;4388;
2018-12-18;200,55;200,70;198,00;203,00;198,00;200,40;200,892;1371691;275561826,19;5132;
2018-12-17;200,05;200,40;202,00;203,10;197,76;199,70;200,107;1364792;273382080,54;4430;
2018-12-14;201,50;201,65;200,80;203,45;200,10;201,65;201,331;1669385;336098133,29;6372;
2018-12-13;203,95;204,10;204,25;207,80;202,95;203,55;204,831;1890775;387289819,02;7038;
2018-12-12;204,35;204,50;196,48;204,55;195,00;204,15;201,581;1611829;324649250,82;6070;
2018-12-11;195,24;195,36;192,72;196,56;190,88;195,58;194,638;1557364;302723654,21;5832;
2018-12-10;189,98;190,12;191,50;192,82;189,56;189,92;190,997;1274258;243545663,36;5133;
2018-12-07;193,74;193,80;191,56;197,20;191,52;193,84;194,143;1693451;328772700,84;6782;
2018-12-06;190,26;190,36;200,20;200,20;189,50;189,50;192,644;2615016;503783324,89;10085;
2018-12-05;202,20;202,25;202,60;203,40;200,40;201,80;202,394;766807;155195223,95;3766;
2018-12-04;205,05;205,15;208,80;209,20;203,60;204,85;205,18;1599877;328262553,8;8078;
2018-12-03;209,65;209,80;212,15;215,00;209,25;209,25;212,158;1900858;403147152,98;7923;
2018-11-30;203,80;203,95;203,50;205,70;200,65;203,90;203,811;2634081;536855208,32;7633;
2018-11-29;202,05;202,20;199,22;203,65;199,22;202,50;201,763;1928636;389185978,44;7318;
2018-11-28;196,56;196,70;197,20;198,50;195,88;196,76;197,041;1673870;329820743,63;6968;
2018-11-27;196,16;196,26;197,46;199,60;195,06;196,44;196,899;2112102;415873469,12;8145;
2018-11-26;198,22;198,30;200,00;202,65;196,88;198,08;199,253;1309092;260841515,26;5726;
2018-11-23;198,06;198,14;200,30;202,90;197,64;198,26;199,642;1279559;255455287,32;6075;
2018-11-22;201,15;201,25;201,60;202,55;198,88;200,80;200,297;1203231;241005303,63;5686;
2018-11-21;200,80;200,95;196,20;201,50;196,18;201,50;199,678;2017452;402833596,31;8556;
2018-11-20;195,92;196,02;204,00;204,40;193,70;195,96;196,442;3495047;688997921,93;15062;
2018-11-19;204,40;204,45;205,50;206,85;203,30;204,55;204,804;1784314;366228404,37;7355;
2018-11-16;202,95;203,00;202,35;205,80;202,00;203,15;203,683;1766163;359737226,15;7510;
2018-11-15;200,35;200,50;200,75;203,85;198,18;200,70;200,619;1695557;340161283,83;7736;
2018-11-14;198,60;198,68;198,66;200,40;195,42;198,90;198,047;1744657;345523619,56;7805;
2018-11-13;199,74;199,86;201,00;202,15;197,12;200,50;200,146;1573522;314928371,71;6575;
2018-11-12;199,90;199,92;203,55;206,50;199,82;200,00;202,132;1695822;342847337,37;7160;
2018-11-09;200,65;200,80;205,00;205,00;199,58;201,00;201,43;1918240;386370444,8;7686;
2018-11-08;207,05;207,15;207,95;210,00;206,75;207,45;207,928;1502881;312492448,28;4992;
2018-11-07;207,35;207,45;209,05;212,65;206,05;207,00;208,71;1520802;317406268,16;6701;
2018-11-06;208,40;208,50;211,30;211,30;207,90;208,55;209,081;1106718;231384966,37;4861;
2018-11-05;211,70;211,85;217,45;217,45;211,15;211,30;212,921;1702669;362354123,55;6274;
2018-11-02;218,30;218,45;220,55;221,65;218,20;219,05;219,83;1356589;298440597,4;4692;
2018-11-01;215,05;215,20;208,35;215,65;206,45;215,30;212,674;2365217;503011439,58;9738;
2018-10-31;209,00;209,15;205,00;212,85;204,45;209,15;208,744;3494061;729263503,7;12269;
2018-10-30;202,60;202,65;199,18;205,00;197,22;202,50;201,644;2499410;503986641,88;10966;
2018-10-29;198,00;198,10;197,70;202,00;194,86;198,34;198,758;2035150;404520915,39;9617;
2018-10-26;195,26;195,30;199,10;199,10;193,10;195,82;195,726;3403346;666137908,4;14806;
2018-10-25;199,46;199,54;193,86;200,55;190,12;199,64;197,423;4046374;798807135,17;18039;
2018-10-24;194,56;194,70;219,30;219,85;192,70;194,36;198,865;8267125;1644553292,02;38223;
2018-10-23;228,60;228,75;231,30;231,65;225,15;228,40;227,642;1927196;438706898,86;9662;
2018-10-22;234,80;234,95;237,70;240,55;233,10;235,00;236,308;1589134;376280712,8;7129;
2018-10-19;236,05;236,15;239,65;239,75;233,85;235,65;236,143;1555510;367325639,11;6737;
2018-10-18;239,55;239,65;239,95;242,20;238,55;239,75;239,981;1195857;286983100,6;5103;
2018-10-17;242,00;242,15;241,25;244,60;238,25;242,10;242,111;1227038;297079600,37;5869;
2018-10-16;240,10;240,20;240,80;240,95;236,60;240,50;239,343;1173800;280945132,2;4765;
2018-10-15;241,75;241,85;240,75;242,05;236,45;241,80;239,804;1014942;243377014,39;4866;
2018-10-12;241,25;241,35;240,40;244,85;239,10;240,75;241,87;1517667;367078941,08;7123;
2018-10-11;239,35;239,50;241,00;242,15;236,25;239,25;239,527;2252313;539493262,41;11168;
2018-10-10;246,80;246,85;254,95;254,95;245,55;246,70;248,442;1704976;423592575,15;6832;
2018-10-09;252,15;252,25;248,85;252,45;248,05;252,30;250,86;1934516;485286250,18;6111;
2018-10-08;246,65;246,80;246,00;249,05;245,10;246,90;247,006;872691;215443708,16;3611;
2018-10-05;247,80;247,90;251,80;252,40;245,10;247,75;248,091;1197812;297167165,75;5727;
2018-10-04;252,55;252,65;253,20;254,35;249,10;252,50;252,156;1427267;359896128,26;6432;
2018-10-03;253,00;253,10;254,10;257,40;252,75;253,60;254,73;1725858;439664661,76;8199;
2018-10-02;253,25;253,30;247,80;254,25;246,50;253,50;251,64;1800462;453064822,91;7527;
2018-10-01;247,80;247,95;248,50;250,15;245,60;247,85;247,845;1272981;315321657,8;5860;
2018-09-28;248,10;248,20;241,30;249,30;240,30;247,90;245,844;2552477;627037752,73;7150;
2018-09-27;241,30;241,45;238,60;243,05;237,55;241,40;240,512;2219284;533653629,21;8305;
2018-09-26;241,35;241,45;244,50;244,75;240,85;241,70;241,895;1266147;306275953,65;4913;
2018-09-25;243,95;244,00;245,00;246,45;242,70;244,25;244,17;1436600;350512366,5;4710;
2018-09-24;244,40;244,50;243,60;246,05;240,95;244,50;244,061;1386006;338259910,16;5800;
2018-09-21;244,35;244,45;248,95;249,05;242,80;245,20;245,247;3184180;780770753,56;11142;
2018-09-20;245,00;245,10;242,15;247,30;241,50;245,25;245,255;2569738;630098131,73;8903;
2018-09-19;241,95;242,05;235,45;242,80;235,20;241,95;239,939;2095561;502798412,69;8813;
2018-09-18;232,80;232,90;230,50;233,45;229,30;232,70;232,119;1828330;424418068,39;5679;
2018-09-17;230,15;230,25;227,10;231,45;225,80;230,25;229,878;998008;229455208,39;4103;
2018-09-14;229,10;229,20;227,45;229,80;226,80;229,10;228,774;813468;186100683,9;3630;
2018-09-13;226,90;227,05;226,85;231,90;226,05;226,60;228,289;1887063;430896488,06;6700;
2018-09-12;226,15;226,25;223,80;227,70;222,80;225,80;225,581;1837683;414623979,63;6566;
