sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;220,00;230,00;220,00;220,00;218,00;218,00;219,236;55;12058;5;
2019-06-04;218,00;224,00;218,00;218,00;218,00;218,00;218,00;1;218;1;
2019-06-03;208,00;214,00;216,00;216,00;216,00;216,00;216,00;131;28296;5;
2019-05-31;206,00;212,00;220,00;220,00;212,00;212,00;213,333;132;28160;18;
2019-05-29;220,00;228,00;226,00;226,00;220,00;220,00;220,667;9;1986;3;
2019-05-28;220,00;228,00;228,00;228,00;228,00;228,00;228,00;1;228;1;
2019-05-27;224,00;226,00;220,00;226,00;220,00;226,00;221,385;13;2878;5;
2019-05-24;226,00;228,00;228,00;228,00;226,00;226,00;226,137;146;33016;5;
2019-05-23;226,00;232,00;232,00;232,00;228,00;228,00;228,057;70;15964;4;
2019-05-22;228,00;232,00;;;;228,00;;;;0;
2019-05-21;228,00;230,00;230,00;230,00;228,00;228,00;228,175;57;13006;6;
2019-05-20;228,00;232,00;228,00;232,00;228,00;228,00;228,037;108;24628;8;
2019-05-17;226,00;232,00;;;;232,00;;;;0;
2019-05-16;226,00;232,00;232,00;232,00;232,00;232,00;232,00;119;27608;5;
2019-05-15;226,00;234,00;234,00;234,00;234,00;234,00;234,00;1;234;1;
2019-05-14;226,00;230,00;226,00;230,00;226,00;230,00;226,069;116;26224;3;
2019-05-13;222,00;230,00;230,00;230,00;230,00;230,00;230,00;2031;467130;16;
2019-05-10;226,00;230,00;220,00;230,00;220,00;230,00;226,324;204;46170;15;
2019-05-09;226,00;230,00;232,00;232,00;214,00;214,00;230,331;151;34780;6;
2019-05-08;226,00;234,00;236,00;236,00;234,00;234,00;235,563;128;30152;8;
2019-05-07;236,00;244,00;250,00;250,00;236,00;236,00;240,696;23;5536;6;
2019-05-06;236,00;240,00;240,00;240,00;236,00;236,00;239,807;2132;511268;12;
2019-05-03;236,00;240,00;236,00;240,00;236,00;240,00;236,492;455;107604;11;
2019-05-02;238,00;240,00;240,00;240,00;234,00;238,00;236,566;53;12538;9;
2019-04-30;238,00;258,00;242,00;242,00;242,00;242,00;242,00;50;12100;4;
2019-04-29;238,00;242,00;246,00;246,00;238,00;238,00;239,253;2062;493340;24;
2019-04-26;240,00;250,00;258,00;258,00;246,00;246,00;254,595;74;18840;9;
2019-04-25;246,00;250,00;246,00;250,00;246,00;250,00;248,349;533;132370;6;
2019-04-24;246,00;248,00;248,00;248,00;246,00;246,00;247,353;374;92510;7;
2019-04-23;246,00;248,00;248,00;248,00;248,00;248,00;248,00;635;157480;17;
2019-04-18;230,00;246,00;;;;246,00;;;;0;
2019-04-17;240,00;246,00;242,00;246,00;242,00;246,00;245,333;6;1472;2;
2019-04-16;240,00;246,00;240,00;240,00;240,00;240,00;240,00;399;95760;9;
