sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;281,50;282,50;278,50;283,50;278,00;283,00;281,114;9353;2629260;55;
2019-06-04;279,00;280,00;280,00;281,50;275,50;278,50;278,828;4906;1367931;58;
2019-06-03;278,00;279,00;277,50;280,00;275,00;280,00;277,947;4599;1278277,5;85;
2019-05-31;278,00;279,00;280,50;282,00;278,00;278,00;280,849;5384;1512090,5;71;
2019-05-29;280,50;281,50;286,00;286,00;280,50;281,50;283,515;1960;555689;43;
2019-05-28;288,00;289,00;284,50;288,50;283,50;288,50;284,097;12724;3614853,5;69;
2019-05-27;284,50;285,00;286,50;288,00;284,50;285,50;286,292;16856;4825739,5;94;
2019-05-24;286,00;286,50;285,00;287,50;284,50;285,00;285,679;8918;2547688,5;78;
2019-05-23;283,50;284,00;286,50;286,50;283,50;285,00;284,767;4118;1172668,5;49;
2019-05-22;286,00;286,50;285,50;288,00;285,00;285,00;286,385;2410;690187;41;
2019-05-21;285,50;286,50;286,00;288,50;285,50;286,50;286,816;1955;560726;32;
2019-05-20;284,50;285,00;287,00;287,50;284,00;284,00;285,245;11007;3139694;78;
2019-05-17;286,00;286,50;287,00;287,50;284,00;287,00;286,082;2450;700901;44;
2019-05-16;286,50;287,50;282,00;287,50;281,50;287,50;285,598;5991;1711016,5;42;
2019-05-15;281,50;282,00;279,50;282,00;279,00;281,00;281,444;4068;1144915;45;
2019-05-14;279,00;280,00;280,50;280,50;278,50;279,00;279,725;712;199164,5;28;
2019-05-13;279,50;280,50;279,50;281,00;278,00;280,50;279,91;1882;526791;31;
2019-05-10;279,50;280,00;279,00;280,00;278,50;280,00;279,366;1995;557334,5;30;
2019-05-09;277,50;278,00;275,00;280,00;275,00;277,00;278,021;2590;720073;42;
2019-05-08;276,50;277,00;277,00;277,50;276,00;277,50;276,81;3848;1065164;31;
2019-05-07;276,50;277,50;280,00;282,50;276,00;277,00;278,167;8124;2259826;77;
2019-05-06;279,50;280,50;279,50;280,50;275,50;280,50;277,013;8438;2337435,5;90;
2019-05-03;281,00;281,50;281,00;282,00;280,50;281,00;281,149;10923;3070995;124;
2019-05-02;281,00;281,50;281,50;283,50;281,00;281,00;281,578;6103;1718469;66;
2019-04-30;281,50;282,50;281,00;284,00;280,50;280,50;281,845;3429;966447;72;
2019-04-29;280,50;281,00;281,00;282,00;280,00;281,00;280,722;5951;1670575;97;
2019-04-26;280,50;281,50;280,00;284,00;279,00;281,00;281,203;19766;5558251;206;
2019-04-25;279,00;280,00;278,50;284,00;276,00;278,50;279,867;23998;6716235,5;234;
2019-04-24;272,00;272,50;270,00;274,50;268,50;270,50;271,26;16593;4501017,5;170;
2019-04-23;269,00;269,50;265,50;270,00;264,50;270,00;267,424;8326;2226569,5;112;
2019-04-18;264,00;265,00;264,50;268,50;264,00;265,50;265,874;3560;946512,5;52;
2019-04-17;265,50;266,00;264,00;267,00;262,50;266,50;265,322;6166;1635975,5;95;
