sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;134,95;135,10;131,00;136,25;130,80;135,25;134,773;1119799;150883932,84;3039;
2019-06-04;130,35;130,45;129,50;132,40;127,15;130,90;130,072;929501;120918878,76;2802;
2019-06-03;129,60;129,70;128,00;130,00;126,70;130,00;128,78;1086661;139935187,37;3025;
2019-05-31;128,80;128,90;131,55;131,85;127,25;128,75;128,984;1895150;244439489,24;3585;
2019-05-29;131,95;132,05;132,25;133,65;131,15;131,75;132,145;385923;51003508,62;1463;
2019-05-28;133,55;133,65;134,00;134,70;131,65;133,75;133,287;1032655;137629470,58;2554;
2019-05-27;134,35;134,45;133,85;134,60;133,75;134,00;134,034;382847;51314467,9;1225;
2019-05-24;133,60;133,75;132,20;134,95;132,20;133,75;134,121;738365;99027917,51;2057;
2019-05-23;132,00;132,10;133,25;133,40;131,20;132,20;132,216;910663;120395201,88;2660;
2019-05-22;133,50;133,65;132,80;134,85;131,75;133,95;133,475;687957;91806780,87;2013;
2019-05-21;132,30;132,40;132,00;133,00;131,75;132,80;132,566;704132;93346630,97;1846;
2019-05-20;131,85;132,00;133,00;133,75;131,80;132,00;132,355;685773;90739422,33;2051;
2019-05-17;132,45;132,55;132,50;133,10;130,15;132,75;131,846;883380;116465779,2;2927;
2019-05-16;133,20;133,30;133,00;133,80;131,00;133,80;132,969;876572;116535877,86;2676;
2019-05-15;133,00;133,15;133,00;134,20;132,40;133,35;133,287;590599;78710410,26;1757;
2019-05-14;132,50;132,60;133,40;134,15;131,20;132,45;132,496;818049;108390848,02;1903;
2019-05-13;132,60;132,70;132,25;134,40;131,30;132,25;132,577;854645;113305037,49;2379;
2019-05-10;132,00;132,05;131,70;134,60;131,15;132,25;132,678;710219;94229131,76;1737;
2019-05-09;131,20;131,30;134,60;134,60;129,70;131,40;131,431;1216991;159967834,41;2766;
2019-05-08;134,90;135,05;133,80;136,25;133,50;135,15;134,725;658102;88657673,03;1916;
2019-05-07;133,85;134,00;132,50;135,90;132,40;133,80;134,393;810333;108917352,24;2202;
2019-05-06;131,90;132,05;133,60;133,60;130,20;132,50;131,57;892466;117421035,27;2154;
2019-05-03;135,05;135,20;134,50;137,65;134,05;135,00;135,716;1245554;169050437,66;3418;
2019-05-02;133,90;134,05;133,05;134,15;131,15;134,15;133,187;1261560;168014391,48;3347;
2019-04-30;133,25;133,35;130,00;134,55;130,00;133,65;133,446;977503;130441234,16;2231;
2019-04-29;130,70;130,80;129,75;131,30;129,00;130,70;130,401;871614;113660497,9;2192;
2019-04-26;129,80;129,90;128,10;130,60;128,10;129,75;129,58;1083951;140455397,92;2720;
2019-04-25;128,15;128,30;130,00;130,10;127,75;128,10;128,632;1189446;153005668,79;3155;
2019-04-24;129,80;130,00;125,50;131,00;125,40;129,95;129,242;3533986;456677607,56;7641;
2019-04-23;124,10;124,25;116,95;131,45;111,90;124,00;124,844;5472111;683299317,23;15812;
2019-04-18;116,20;116,30;114,80;116,50;114,30;116,50;115,596;777515;88136624,15;1520;
2019-04-17;114,85;114,95;117,65;117,70;114,65;115,35;115,815;1375281;159306829,66;3488;
2019-04-16;117,25;117,35;116,40;117,60;116,10;117,20;117,109;1049318;122883365,2;2606;
2019-04-15;115,85;115,95;114,00;116,15;113,25;116,10;115,398;1058969;122136039,78;2919;
2019-04-12;113,95;114,05;114,50;114,80;113,10;114,00;114,043;793849;90524817,12;2001;
2019-04-11;114,35;114,40;113,25;117,15;113,25;114,10;115,265;1601943;184680677,79;4525;
2019-04-10;113,15;113,25;109,80;114,15;109,55;113,25;112,683;1571043;177017315,96;4097;
2019-04-09;109,85;109,95;108,35;110,15;108,30;109,80;109,513;1593785;174541806,4;2440;
2019-04-08;108,05;108,20;106,75;109,25;106,75;107,80;108,031;853956;92248779,23;1904;
2019-04-05;106,95;107,10;107,10;108,15;106,75;106,75;107,062;801544;85819665,28;1971;
2019-04-04;107,10;107,20;109,50;109,90;106,85;107,35;107,784;962280;103711967,2;2122;
2019-04-03;109,20;109,30;106,60;110,00;106,60;109,40;109,097;890327;97069529,62;1826;
2019-04-02;106,40;106,50;109,90;110,10;106,30;106,60;107,212;1203071;128977021,64;2624;
2019-04-01;110,00;110,10;108,65;110,50;108,50;109,65;109,651;815044;89369148,1;2108;
2019-03-29;107,85;107,90;109,80;110,85;107,50;108,25;108,515;1217875;132209455,74;2617;
2019-03-28;108,60;108,75;107,40;111,15;107,40;108,90;109,397;1421687;155543090,1;3446;
2019-03-27;107,30;107,45;106,55;109,05;105,75;107,05;107,522;1780990;191511077,65;3757;
2019-03-26;106,00;106,10;106,50;107,55;105,55;106,15;106,153;614192;65197952,5;1776;
2019-03-25;106,40;106,50;105,00;106,50;104,75;106,25;105,874;585585;61988215,61;1568;
2019-03-22;105,75;105,80;109,00;109,25;105,50;105,55;106,589;812876;86551580,11;2251;
2019-03-21;108,70;108,85;107,75;109,70;107,75;108,70;108,726;568299;61787775,85;1682;
2019-03-20;108,00;108,05;106,60;109,20;106,40;107,75;108,289;835738;90501392,02;2016;
2019-03-19;107,35;107,45;106,80;108,40;106,75;107,30;107,431;798365;83350035,53;1844;
2019-03-18;106,20;106,30;106,95;108,40;106,15;106,45;106,908;613719;64187003,48;1224;
2019-03-15;106,80;106,90;106,30;108,10;106,25;106,95;107,013;1178817;126148110,13;2618;
2019-03-14;106,50;106,60;106,25;107,45;106,20;106,30;106,584;872106;92968371,86;1622;
2019-03-13;106,25;106,35;105,55;106,70;104,80;106,45;106,191;600630;63773891,47;1530;
2019-03-12;105,45;105,50;105,50;106,75;105,30;105,55;105,822;620464;65660141,43;1389;
2019-03-11;105,25;105,40;104,25;106,25;104,25;105,50;105,491;709294;74841185,27;2143;
2019-03-08;103,95;104,05;105,95;106,05;103,50;104,25;104,431;974887;101797883,73;2760;
2019-03-07;106,60;106,70;107,50;107,85;106,30;106,85;106,895;577676;61752015,08;1536;
2019-03-06;107,45;107,50;109,90;110,00;107,45;107,55;108,276;627278;67935218,8;1620;
2019-03-05;109,85;109,95;109,45;110,10;108,60;109,90;109,50;600192;65707686,97;1288;
2019-03-04;109,65;109,75;110,20;110,80;109,60;109,60;110,039;523468;57606724,16;1408;
2019-03-01;109,70;109,80;110,00;110,35;109,25;109,80;109,71;746270;81872320,05;1799;
2019-02-28;109,50;109,60;108,50;109,60;108,30;109,25;109,113;722853;78872960,24;1437;
2019-02-27;109,00;109,15;109,50;110,20;108,40;109,05;109,062;1016498;107337517,46;1763;
2019-02-26;109,65;109,80;108,35;110,70;108,35;109,70;109,843;967295;106245728,2;2354;
2019-02-25;109,20;109,30;109,70;110,10;108,35;108,95;109,046;616932;67273987,74;1478;
2019-02-22;109,55;109,65;111,65;111,85;109,45;109,70;110,357;644731;71155179,94;1739;
2019-02-21;111,35;111,45;110,50;112,55;110,50;111,10;111,585;1180919;131781834,62;3280;
2019-02-20;110,25;110,40;109,20;110,65;108,45;110,20;109,731;1179064;129380894,02;2519;
2019-02-19;109,15;109,30;108,60;109,70;107,90;109,20;108,637;785885;85334465,18;2022;
2019-02-18;108,25;108,40;108,00;108,65;107,10;108,65;108,091;719233;77323975,85;1537;
2019-02-15;107,70;107,85;106,50;108,55;106,10;107,80;107,728;1247232;134370057,84;2974;
2019-02-14;106,30;106,40;105,00;106,90;105,00;106,40;106,174;1095971;116365838,43;2521;
2019-02-13;104,70;104,80;105,15;105,95;104,10;104,95;105,106;1257629;132184972,18;2881;
2019-02-12;104,35;104,50;104,10;105,60;103,65;104,70;104,618;1038351;108626284,82;2481;
2019-02-11;103,25;103,45;101,80;105,20;101,35;103,60;103,601;1561828;161808318,47;3623;
2019-02-08;101,15;101,25;101,00;101,80;99,82;101,20;101,00;1293014;130594730,77;3154;
2019-02-07;100,90;101,00;103,40;104,30;98,96;100,85;101,723;2730763;277979384,17;5265;
