sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;456,30;456,60;454,10;463,50;451,80;457,00;457,519;689010;315226418,85;5598;
2019-06-04;452,00;452,30;446,10;453,50;441,40;453,50;449,04;652338;292911369,75;5029;
2019-06-03;448,10;448,20;440,00;449,40;437,30;449,20;445,829;731216;325874894,85;5171;
2019-05-31;439,90;440,00;451,90;453,00;439,80;441,30;444,035;783518;348083478;5643;
2019-05-29;453,00;453,30;453,20;456,30;449,50;452,40;452,507;479545;217064975,55;3183;
2019-05-28;458,80;458,90;462,60;466,50;457,80;459,70;459,996;541718;249192854,55;3877;
2019-05-27;463,00;463,30;463,00;466,80;462,30;463,30;463,414;230730;106917647,2;2323;
2019-05-24;463,40;463,70;462,60;468,00;460,90;462,10;463,309;545616;252810516,25;4032;
2019-05-23;462,40;462,60;475,30;477,80;462,30;462,50;465,857;662448;308596983,75;5195;
2019-05-22;477,70;477,90;475,60;479,80;474,00;478,10;477,403;634493;302912421,3;5083;
2019-05-21;476,60;476,80;471,70;479,40;471,30;477,80;476,59;495418;236073669,9;3681;
2019-05-20;470,10;470,40;482,00;482,60;468,50;470,00;471,461;612192;289205674,81;4855;
2019-05-17;481,90;482,10;481,10;482,90;475,00;482,90;480,194;686910;329820238,6;5734;
2019-05-16;481,90;482,10;474,00;482,70;470,00;482,70;477,787;596560;285013941,45;4670;
2019-05-15;473,40;473,60;475,10;476,50;466,50;474,30;471,866;552953;260852508,4;4501;
2019-05-14;474,20;474,40;470,80;474,40;465,80;474,00;472,16;654464;308991097,2;4348;
2019-05-13;471,90;472,20;481,70;482,70;470,80;470,80;473,606;619080;293288726,95;4244;
2019-05-10;480,30;480,60;485,60;486,90;478,40;481,70;481,91;595112;286797091,8;5136;
2019-05-09;479,30;479,50;484,30;485,60;477,80;479,30;481,226;537449;258632238,65;3972;
2019-05-08;486,90;487,10;492,00;492,60;482,90;487,00;487,611;1080973;527075158,8;8184;
2019-05-07;481,40;481,70;484,50;501,00;478,30;481,30;486,27;1270702;617893012,65;8712;
2019-05-06;490,40;490,50;500,00;500,00;489,20;490,00;491,399;801068;393650662,9;5923;
2019-05-03;510,80;511,00;509,60;515,20;508,40;510,40;510,942;618425;315994724,3;3938;
2019-05-02;510,40;510,80;519,80;519,80;509,60;510,60;512,239;856897;438965807,4;5929;
2019-04-30;520,00;520,20;518,00;526,00;517,40;518,00;519,913;380339;197780991;2105;
2019-04-29;524,80;525,20;525,60;528,00;523,20;524,20;524,827;458282;240515104,4;2536;
2019-04-26;525,00;525,40;531,00;532,80;524,40;525,00;525,711;593219;311866192,3;3508;
2019-04-25;527,60;528,00;528,80;538,80;524,00;528,20;531,325;718787;381925642,6;4567;
2019-04-24;527,20;527,60;525,40;530,00;524,40;528,60;528,052;560582;296013304;3244;
2019-04-23;522,60;522,80;522,00;525,80;519,00;522,60;522,318;650065;339526368,9;3713;
2019-04-18;518,40;518,80;517,40;520,80;512,80;519,40;517,614;248056;127947369,3;1521;
2019-04-17;514,20;514,60;511,80;517,40;511,80;516,00;515,152;511694;263594387,9;2861;
2019-04-16;512,00;512,20;512,20;516,00;511,00;513,00;513,397;457133;234691286,1;3056;
2019-04-15;510,00;510,40;509,60;513,40;508,20;511,00;510,691;600773;306815119;4004;
2019-04-12;508,20;508,40;502,80;509,60;499,50;509,40;507,75;646762;328590620,7;3003;
2019-04-11;503,80;504,20;504,40;509,20;503,80;504,00;505,523;454919;229995341,1;3449;
2019-04-10;504,20;504,60;503,40;505,60;499,10;505,00;503,485;620033;312221310,8;3953;
2019-04-09;503,20;503,60;508,40;511,80;502,60;502,60;505,649;439832;222413299,3;2922;
2019-04-08;512,80;513,20;515,20;515,80;509,40;513,20;513,08;645507;331117475,9;3287;
2019-04-05;514,80;515,20;513,80;515,80;512,20;515,80;514,429;528083;271641627,6;2736;
2019-04-04;510,20;510,40;513,00;513,00;509,00;512,40;511,642;761519;389622051,9;3659;
2019-04-03;509,60;510,00;501,60;514,20;501,40;511,60;510,701;981149;501064116,8;5063;
2019-04-02;497,40;497,70;494,70;502,80;490,50;499,40;498,471;741572;369649795,4;4914;
2019-04-01;492,40;492,70;487,70;496,70;484,05;493,80;491,205;1067596;524412045,34;7081;
