sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;147,14;147,18;145,86;147,66;145,12;147,66;147,085;3801264;558972523,65;7196;
2019-06-04;146,34;146,38;142,82;146,82;141,52;146,66;145,347;4217775;613002304,11;8790;
2019-06-03;143,22;143,28;141,60;143,72;140,06;143,72;142,554;3737586;532889543,48;7154;
2019-05-31;142,00;142,08;148,38;148,64;141,50;142,00;142,896;7348398;1050128379,48;17321;
2019-05-29;150,22;150,26;150,08;151,12;149,88;150,00;150,176;1688917;253643268,89;3948;
2019-05-28;151,86;151,90;150,90;152,50;149,40;151,90;151,712;9134903;1385757393,31;6699;
2019-05-27;150,88;150,96;151,66;151,90;149,86;150,90;150,591;1608209;242177338,88;4564;
2019-05-24;150,46;150,52;148,08;151,42;147,82;150,50;150,221;5047059;758145566,59;9591;
2019-05-23;147,82;147,86;152,26;152,44;147,78;148,06;149,676;4954788;741755776,41;11030;
2019-05-22;153,38;153,44;156,00;156,28;152,80;153,64;153,95;4416658;679940685,82;10044;
2019-05-21;155,02;155,04;156,40;156,40;154,36;155,80;155,535;4019593;625176832,89;6784;
2019-05-20;155,22;155,26;160,00;160,30;155,00;155,42;156,317;2964617;463654639,51;7128;
2019-05-17;159,94;159,96;159,50;160,50;157,10;160,00;159,046;3561544;566428186,59;9317;
2019-05-16;159,62;159,66;157,76;160,00;157,02;159,90;158,788;3863610;612779495,69;6923;
2019-05-15;157,74;157,78;158,22;158,60;156,90;158,00;157,625;2556665;402968723,54;7155;
2019-05-14;157,24;157,28;155,00;157,58;153,52;157,46;156,388;7338962;1145878831,06;9318;
2019-05-13;155,34;155,40;158,90;158,90;154,88;155,02;155,763;2635853;410585021,13;5849;
2019-05-10;158,88;158,96;159,72;160,02;158,20;158,96;159,031;2325100;369769481,75;5531;
2019-05-09;158,18;158,22;160,00;161,96;157,94;158,74;159,365;3017919;480986799,55;7592;
2019-05-08;161,84;161,88;162,00;163,18;160,70;161,98;161,817;3613192;580125716,3;7610;
2019-05-07;166,64;166,68;168,06;169,42;165,72;166,44;167,467;3317267;555512344,4;8664;
2019-05-06;168,18;168,20;168,32;168,56;164,74;167,90;167,03;2265848;378448012,79;6131;
2019-05-03;170,42;170,46;167,88;171,24;167,04;169,96;169,898;3399999;577689694,22;8851;
2019-05-02;167,78;167,84;165,56;168,36;165,40;168,06;167,271;3777264;631796019,34;8682;
2019-04-30;166,32;166,38;166,00;168,40;165,58;165,58;166,207;1903112;316315049;3544;
2019-04-29;166,60;166,64;167,76;167,76;165,52;166,40;166,365;2340853;389438003,56;5148;
2019-04-26;167,42;167,46;167,46;168,60;166,34;167,76;167,573;2384547;399581009,2;5579;
2019-04-25;167,20;167,28;164,50;167,82;164,14;167,46;166,757;3516806;586445355,82;7826;
2019-04-24;164,02;164,06;165,96;166,20;163,36;164,48;164,544;3493101;574742802,7;8557;
2019-04-23;165,06;165,12;167,50;167,64;164,30;165,00;165,184;3488871;576341201,94;7748;
2019-04-18;167,18;167,22;164,68;167,64;164,42;167,16;166,76;1968447;320527001,32;3643;
2019-04-17;165,10;165,14;164,24;166,20;163,64;165,52;165,037;2423983;400036607,12;5640;
2019-04-16;163,78;163,80;162,52;164,86;162,50;164,30;164,066;3283409;538691923,39;6469;
2019-04-15;162,72;162,78;162,18;163,22;161,10;162,52;162,473;3200923;519959447,5;6026;
2019-04-12;161,86;161,94;162,00;162,48;160,26;162,18;161,604;3298877;533371560,92;6146;
2019-04-11;162,12;162,16;162,94;163,82;161,88;161,94;162,488;2910014;472908094,64;6326;
2019-04-10;163,12;163,22;161,60;164,06;161,40;163,12;163,045;2639175;430300560,08;6247;
2019-04-09;162,28;162,34;165,94;168,50;161,90;161,90;164,719;6433989;1060759888,43;14202;
2019-04-08;164,92;164,96;162,06;165,54;161,00;164,94;164,356;4239010;696418029,51;8984;
2019-04-05;162,96;163,04;162,90;163,92;162,00;162,42;162,72;3062267;498303430,35;6803;
2019-04-04;162,14;162,22;159,00;163,52;158,78;162,50;162,058;6453780;1045952378,13;13161;
2019-04-03;158,70;158,74;154,54;159,42;154,54;159,00;158,144;4942136;781198108,5;9055;
2019-04-02;154,02;154,10;154,46;155,34;153,64;154,50;154,567;4276287;660913693,39;8412;
2019-04-01;154,06;154,12;155,00;155,62;151,66;154,46;153,86;6038562;928939180,54;14329;
2019-03-29;154,54;154,60;160,00;163,80;154,12;155,00;158,391;19855550;3144782781,64;46327;
2019-03-28;141,28;141,34;140,00;141,96;139,14;141,48;140,949;4572337;644437427,07;9818;
2019-03-27;140,18;140,24;137,00;140,32;136,78;140,00;139,24;3689857;513770904,75;7618;
2019-03-26;136,76;136,80;137,86;137,98;136,70;137,20;137,242;3846837;527950372,82;7364;
2019-03-25;137,94;137,98;135,50;138,04;133,90;137,88;136,74;3256199;445266677,33;9364;
2019-03-22;136,04;136,08;136,98;137,08;135,78;136,08;136,272;2997144;408416550,25;8040;
2019-03-21;136,68;136,74;138,88;139,28;136,38;136,98;137,386;3027769;415999013,3;6942;
2019-03-20;138,96;139,02;138,58;139,86;138,14;138,88;138,995;2621601;364389285,47;5508;
2019-03-19;138,88;138,90;137,30;139,74;136,70;138,52;138,721;3619136;502230830,53;7781;
2019-03-18;137,28;137,30;136,00;138,84;135,50;137,50;137,436;6190399;853862371,78;9895;
2019-03-15;136,04;136,08;145,00;145,00;134,58;136,00;136,809;15037041;2057195613,49;32404;
2019-03-14;142,66;142,70;139,00;143,24;138,66;143,04;142,11;5366914;762664111,83;11322;
2019-03-13;137,90;137,92;135,42;138,58;134,32;138,20;137,178;3450650;473337280,58;7049;
2019-03-12;135,48;135,52;138,40;138,80;135,30;135,42;136,333;2881088;392788377,32;6248;
2019-03-11;138,00;138,08;136,30;138,38;136,10;137,98;137,63;3078161;423642802,69;6333;
2019-03-08;136,00;136,06;135,20;136,28;135,20;135,90;135,872;2105229;286041597,77;4988;
2019-03-07;135,72;135,76;134,88;136,82;133,46;136,16;135,73;3638883;494036947,23;6124;
2019-03-06;135,22;135,30;136,76;137,26;134,96;135,24;135,562;4101604;556022856,14;9194;
2019-03-05;137,54;137,56;136,38;137,62;134,58;137,42;136,205;3241002;441367618,67;7309;
2019-03-04;136,44;136,48;138,00;139,76;136,38;136,38;137,144;4437603;608652878,32;7236;
2019-03-01;137,92;138,00;139,00;139,66;137,32;138,00;138,288;4861780;672500870,86;9374;
2019-02-28;139,90;139,92;138,00;139,96;137,82;139,78;139,422;2795598;389763910,5;4870;
2019-02-27;138,46;138,52;139,38;139,60;138,10;138,36;138,668;2045661;283672840,21;4303;
2019-02-26;139,76;139,80;137,92;140,76;137,36;139,54;139,486;3668028;511625936,14;7952;
2019-02-25;138,72;138,76;140,02;140,80;137,20;138,26;138,35;3081058;426283020,8;6668;
2019-02-22;140,30;140,36;139,94;141,24;139,74;139,96;140,271;2318440;325215112,19;4439;
2019-02-21;139,84;139,90;139,94;141,08;139,36;139,64;140,049;3647957;510912934,58;6310;
2019-02-20;140,18;140,28;138,18;140,62;138,04;139,94;139,563;3431634;478853937,53;6550;
2019-02-19;138,10;138,14;137,30;138,84;137,30;138,00;138,016;2745987;378990783,62;5402;
2019-02-18;137,22;137,30;135,00;137,64;134,72;137,04;136,394;3252618;444246435,5;6747;
2019-02-15;136,04;136,08;137,48;138,30;135,92;136,38;136,644;5697229;778466982,29;9814;
2019-02-14;138,54;138,58;141,80;141,98;138,20;138,42;139,44;3586661;500234160,01;6863;
2019-02-13;141,50;141,52;142,12;142,48;140,84;141,30;141,461;1943845;274983264,37;4310;
2019-02-12;141,72;141,74;141,00;142,68;140,60;141,64;141,633;4549858;643964135,62;7059;
2019-02-11;140,10;140,14;138,00;140,46;137,74;140,42;139,858;3193267;446584745,52;6753;
2019-02-08;137,40;137,46;137,00;138,70;135,98;137,50;137,161;6031584;828114167,44;10511;
2019-02-07;137,76;137,84;141,80;142,24;137,30;137,54;138,646;8745334;1213219330,12;10438;
2019-02-06;141,84;141,92;145,02;145,84;141,66;141,90;143,074;5452046;782644577,89;8211;
2019-02-05;145,48;145,52;141,76;145,90;141,76;145,66;145,001;4728353;685594083,06;10111;
2019-02-04;141,54;141,62;140,32;143,08;139,80;141,50;141,292;3864020;545889056,2;8306;
2019-02-01;140,90;140,96;139,02;141,42;136,62;141,00;140,05;6958143;974810257,52;12358;
2019-01-31;139,80;139,86;132,96;141,78;131,26;140,60;137,633;14950851;2057155458,43;33172;
2019-01-30;137,64;137,72;138,54;138,84;136,04;137,60;137,094;3774113;517399658,92;9370;
2019-01-29;138,66;138,74;133,44;139,12;133,24;138,94;137,848;5030157;693377257,37;10220;
2019-01-28;133,02;133,06;134,24;137,58;133,00;133,20;134,695;4238450;570953334,04;9172;
2019-01-25;134,20;134,26;134,50;136,12;133,12;134,24;134,381;2714842;364815525,26;6085;
2019-01-24;133,40;133,44;133,14;134,90;132,80;134,16;134,055;2690922;360722919,05;5488;
2019-01-23;133,54;133,58;134,40;134,46;132,50;133,14;133,437;3634048;484925306,66;6560;
2019-01-22;134,50;134,54;133,48;136,00;133,24;134,86;134,866;1873591;252835615,53;4118;
2019-01-21;134,64;134,68;136,68;136,68;134,24;134,56;134,766;2395736;322905606,33;4153;
2019-01-18;136,16;136,20;134,22;137,46;134,20;136,74;136,581;4719543;644595040,44;9490;
2019-01-17;133,98;134,04;133,50;134,22;132,20;134,10;133,612;2555506;341434335,32;6029;
2019-01-16;133,24;133,30;131,20;135,16;131,14;133,70;133,614;3552398;474638653;6118;
2019-01-15;131,16;131,22;132,20;133,40;130,50;131,18;131,48;3622707;476319995,31;8272;
2019-01-14;131,90;131,96;134,06;136,26;131,90;132,06;133,029;5114118;680392419,48;10488;
2019-01-11;134,72;134,80;135,42;136,24;133,14;134,84;134,70;2535736;341563899,36;5560;
2019-01-10;134,88;134,90;133,46;137,26;133,00;135,18;135,271;4967667;671982207,81;11020;
2019-01-09;134,24;134,28;134,00;135,10;132,36;134,48;133,801;3557171;475949069,29;7803;
2019-01-08;133,52;133,58;130,60;135,34;129,88;133,90;133,82;5367076;718202575,21;11945;
2019-01-07;130,44;130,46;130,50;131,12;128,74;130,58;129,925;3067542;398543942,28;6795;
2019-01-04;130,24;130,30;126,80;130,88;126,80;130,48;129,55;4189054;542630589,52;8843;
2019-01-03;126,52;126,56;127,24;130,26;126,14;126,20;127,526;4714876;601305509,19;11042;
2019-01-02;127,10;127,14;125,50;129,16;123,50;127,06;127,128;4743927;603089378,8;11324;
2018-12-28;126,34;126,38;125,20;127,16;125,20;126,02;126,267;6398445;807918419,57;12440;
2018-12-27;124,90;124,94;128,76;129,50;124,12;125,02;126,018;7077249;896318455,02;16463;
2018-12-21;128,76;128,78;130,34;131,28;128,00;128,60;128,946;10791790;1391580269,93;17315;
2018-12-20;132,10;132,14;134,94;135,00;131,74;131,74;132,866;5703475;757854824,99;11182;
2018-12-19;136,22;136,26;137,60;139,10;135,60;136,12;137,176;6220711;853431869,37;12134;
2018-12-18;138,64;138,72;142,00;143,50;138,40;138,62;140,379;7288700;1023275488,69;13935;
2018-12-17;142,90;142,96;156,12;156,78;139,42;142,80;144,681;13433029;1943805969,31;34508;
