sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;420,90;421,00;420,80;423,20;418,10;422,20;421,293;1091835;459962739,7;6581;
2019-06-04;420,40;420,70;414,80;421,30;410,00;420,80;417,088;1324636;552446800,75;8334;
2019-06-03;416,20;416,40;409,10;416,30;405,60;415,90;412,353;1532188;631815336,15;8413;
2019-05-31;411,20;411,30;418,20;419,00;410,10;410,30;412,018;1773222;730614375,85;10381;
2019-05-29;420,60;420,70;423,00;425,30;418,70;420,00;420,771;731398;307738742,65;4763;
2019-05-28;428,10;428,20;430,10;431,70;425,40;425,40;426,442;1710977;729815656,02;6557;
2019-05-27;430,20;430,40;434,20;435,00;429,30;430,10;430,959;534714;230444757,05;4699;
2019-05-24;432,00;432,10;427,00;433,80;427,00;431,50;431,548;844458;364421622,8;5684;
2019-05-23;424,60;424,80;432,00;432,30;424,40;426,10;427,156;1058502;452302392;7031;
2019-05-22;433,60;433,70;434,80;436,80;432,60;434,60;434,498;680619;295726521,3;5313;
2019-05-21;434,70;434,80;436,60;438,60;434,70;435,70;436,505;714240;311774826,35;4355;
2019-05-20;434,40;434,60;439,30;439,80;432,00;434,90;434,817;813470;353905511,45;5063;
2019-05-17;438,20;438,30;439,20;439,40;434,40;438,80;437,057;951853;416005426,2;6818;
2019-05-16;440,10;440,20;433,00;440,50;430,60;440,00;436,312;837048;365206306;5387;
2019-05-15;431,70;431,90;433,10;433,90;426,60;432,90;430,076;910779;391675540,85;7190;
2019-05-14;431,50;431,70;421,40;431,70;421,40;431,60;429,007;1122582;481566485,35;6200;
2019-05-13;422,90;423,10;430,50;430,60;421,70;421,70;424,759;1466392;623153987,25;7539;
2019-05-10;429,50;429,70;429,40;432,20;427,40;430,50;429,979;1071852;460872076,65;6480;
2019-05-09;425,90;426,00;434,00;434,20;425,40;426,80;428,964;1448900;620725294,8;9175;
2019-05-08;442,60;442,80;437,50;443,70;436,20;443,70;441,038;1287808;567942016,05;7310;
2019-05-07;438,00;438,10;443,00;446,50;437,50;439,30;441,761;1422083;628216765;7907;
2019-05-06;442,30;442,40;447,30;447,30;436,30;442,80;440,482;1419038;625107197,2;11073;
2019-05-03;452,20;452,40;450,00;452,40;449,00;452,40;451,346;1062786;479648431,15;5854;
2019-05-02;448,40;448,60;452,80;453,80;448,50;449,80;450,614;1355413;610676711,85;8521;
2019-04-30;451,70;451,80;450,40;453,80;450,20;452,70;452,17;735968;332793382,05;4056;
2019-04-29;450,50;450,70;450,70;451,50;447,60;450,50;450,294;824049;371065702,6;5615;
2019-04-26;448,80;448,90;444,10;450,80;444,00;449,80;448,683;1193363;535442438,7;7959;
2019-04-25;444,30;444,40;441,50;448,00;438,30;443,80;443,786;1716406;761923387,2;9414;
2019-04-24;437,10;437,30;436,60;443,60;436,00;437,00;439,129;1190642;522858303,75;6832;
2019-04-23;437,30;437,40;438,70;438,70;433,90;436,40;436,454;1104261;481963540;6360;
