sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;246,00;246,20;247,00;249,10;245,50;246,40;247,022;661011;163276479,45;3566;
2019-06-04;245,90;246,10;245,50;247,00;237,40;246,00;243,727;1190675;290341980,6;5977;
2019-06-03;240,90;241,10;240,80;241,20;238,10;241,20;240,316;739766;177769910,8;4428;
2019-05-31;241,40;241,70;245,10;245,40;240,50;242,00;242,344;1092614;264793286,5;5048;
2019-05-29;246,90;247,10;249,00;249,40;246,00;246,40;247,018;384313;94931934,8;2720;
2019-05-28;250,70;250,90;253,00;254,60;250,60;251,70;251,632;1160348;291979833,15;3768;
2019-05-27;252,30;252,50;256,10;257,30;252,00;253,00;253,412;457632;115971936,4;3320;
2019-05-24;255,50;255,70;254,40;257,40;254,40;255,10;255,865;335995;85968934,15;2737;
2019-05-23;253,30;253,60;257,40;257,50;253,00;254,40;254,613;537630;136885504,75;3448;
2019-05-22;258,80;258,90;260,00;260,30;257,40;259,00;259,013;550923;142697753,85;3485;
2019-05-21;260,30;260,40;259,70;261,80;258,50;260,60;260,544;536502;139787926,06;2829;
2019-05-20;258,10;258,30;262,40;262,90;257,00;258,00;258,884;598789;155017868,15;3556;
2019-05-17;261,00;261,20;263,40;264,50;259,80;261,50;261,175;650285;169838235,25;4354;
2019-05-16;265,60;265,80;262,10;266,10;260,20;265,60;263,461;522133;137645207,35;2923;
2019-05-15;261,70;261,90;261,50;262,30;258,30;262,00;260,556;521619;135909424,4;3743;
2019-05-14;259,70;259,90;256,80;261,80;256,60;260,30;259,737;844119;219246795,25;4836;
2019-05-13;257,50;257,60;264,00;265,10;256,90;256,90;259,029;500562;129674162,1;3086;
2019-05-10;262,70;263,00;263,30;265,90;261,50;263,30;263,418;603564;158991302,15;3608;
2019-05-09;261,50;261,70;265,90;265,90;261,20;262,20;263,434;769235;202649822,55;4474;
2019-05-08;268,30;268,50;268,10;269,20;265,60;268,70;267,528;859712;228849955,35;4669;
2019-05-07;271,00;271,30;273,00;277,60;270,60;271,00;274,009;1252529;341277824,3;5595;
2019-05-06;272,40;272,60;272,10;273,30;267,10;273,30;270,259;749374;202520638,15;5432;
2019-05-03;275,50;275,80;272,80;276,40;272,80;276,00;275,122;973080;267715597,15;3950;
