sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;68,56;68,60;68,83;69,03;68,16;68,43;68,489;5656139;387380899,38;7673;
2019-06-04;68,64;68,68;68,41;68,83;67,80;68,83;68,556;10579553;725250907,83;10689;
2019-06-03;67,78;67,79;67,00;67,80;66,57;67,71;67,221;9781526;657395217,15;10183;
2019-05-31;67,20;67,22;68,63;68,73;66,99;66,99;67,181;27053337;1817681378,29;12469;
2019-05-29;69,25;69,28;69,61;69,76;69,00;69,00;69,283;4348017;301260287,27;4369;
2019-05-28;69,89;69,92;70,70;70,77;69,50;69,90;69,891;12001487;838775676,97;10479;
2019-05-27;70,70;70,74;70,68;70,82;70,05;70,74;70,414;4639980;326716610,88;5861;
2019-05-24;70,21;70,23;70,42;70,92;70,14;70,25;70,402;5542390;390200915,83;6396;
2019-05-23;70,26;70,29;70,87;71,08;70,22;70,32;70,523;6912453;487486774,79;8007;
2019-05-22;71,01;71,04;72,23;72,31;70,92;71,14;71,295;7183408;512142840,28;10127;
2019-05-21;72,10;72,12;71,67;72,30;71,45;72,30;72,017;5882228;423733451,56;4878;
2019-05-20;71,60;71,62;72,43;72,55;71,27;71,27;71,513;8643026;619177636,84;8139;
2019-05-17;72,12;72,15;72,00;72,44;71,61;72,12;72,033;7007518;504731906,07;7411;
2019-05-16;72,51;72,52;72,24;72,72;71,64;72,72;72,24;4894530;353569802,28;6568;
2019-05-15;72,17;72,19;72,75;72,75;71,61;72,31;72,036;5834955;420325025,12;7123;
2019-05-14;72,44;72,47;72,27;72,56;72,08;72,54;72,395;4677674;338638180,39;5021;
2019-05-13;72,20;72,21;73,69;73,84;71,98;72,15;72,527;6929631;503094845,62;8318;
2019-05-10;73,48;73,50;73,30;73,96;73,06;73,68;73,549;5363588;394481552,35;6471;
2019-05-09;72,84;72,86;73,34;73,49;72,77;72,95;73,086;6144490;449073960,28;8042;
2019-05-08;73,49;73,50;74,33;74,65;73,27;73,67;73,726;10614793;782554702,1;11714;
2019-05-07;74,64;74,65;76,30;76,45;74,48;74,62;75,042;9300602;697937067,4;9965;
2019-05-06;76,02;76,05;75,58;76,29;75,16;76,29;75,738;6427548;486957456,07;7079;
2019-05-03;76,43;76,45;75,80;76,69;75,53;76,31;76,379;7833210;598303439,7;9189;
2019-05-02;75,65;75,66;74,75;76,00;74,75;75,88;75,604;12878121;973626124,85;11828;
2019-04-30;74,75;74,77;75,90;76,84;74,42;74,75;75,383;15438604;1163501322,55;16622;
2019-04-29;77,98;78,00;78,74;78,85;77,96;78,00;78,144;9552281;746416704,5;8487;
2019-04-26;78,36;78,37;77,38;78,69;77,01;78,57;78,105;9528140;743706345,73;9259;
2019-04-25;77,42;77,45;77,26;77,60;76,65;77,50;77,287;7384506;570711943,67;9485;
2019-04-24;77,28;77,29;78,14;78,17;77,05;77,25;77,367;9597612;742545502,42;10981;
2019-04-23;78,04;78,06;77,88;78,29;77,40;78,24;77,988;7599133;592623655,81;8135;
2019-04-18;78,14;78,18;77,95;78,21;77,53;77,88;77,867;4195027;326381856,64;3793;
2019-04-17;77,69;77,72;78,19;78,56;77,65;77,88;78,083;7466290;582995906,61;7758;
2019-04-16;78,14;78,16;78,10;78,51;77,79;78,33;78,249;7770504;607942155,89;7778;
2019-04-15;77,96;77,98;77,86;78,60;77,45;78,18;78,048;6866350;535338128,53;8366;
2019-04-12;77,70;77,72;76,55;78,18;76,30;77,57;77,449;7568148;586245830,84;8182;
2019-04-11;76,66;76,69;75,76;76,96;75,76;76,54;76,465;8309631;635352417,65;9695;
2019-04-10;75,75;75,78;75,94;76,39;75,45;75,60;75,923;8246282;625611524,86;9447;
2019-04-09;75,70;75,71;75,31;76,42;75,18;75,88;75,839;6508627;493624575;7680;
