sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;151,70;151,80;151,00;152,95;150,35;152,05;152,016;3443739;523509049,31;7700;
2019-06-04;150,70;150,80;146,65;151,05;145,40;150,75;149,331;3807224;568517523,28;8085;
2019-06-03;146,35;146,45;146,00;146,65;144,10;146,65;145,591;4276524;622496421,73;7452;
2019-05-31;146,10;146,25;148,95;149,75;145,30;146,55;146,677;3567767;523303260,65;6608;
2019-05-29;150,25;150,35;150,30;150,55;148,20;150,35;149,714;2125236;318171648,67;4689;
2019-05-28;151,35;151,45;151,35;152,40;150,60;151,45;151,404;4065246;615522490,34;5000;
2019-05-27;151,10;151,15;155,35;155,70;150,90;151,30;151,795;2165705;328760674,59;5025;
2019-05-24;153,60;153,70;153,05;155,15;153,05;153,60;154,113;1957565;301699559,22;4362;
2019-05-23;152,70;152,80;158,50;158,50;152,50;153,00;153,986;5160489;794817053,6;11916;
2019-05-22;159,90;160,00;163,00;163,00;159,80;160,45;160,948;2563358;412570105,09;5646;
2019-05-21;161,40;161,50;160,05;162,75;160,05;161,65;161,751;2340775;378633834,68;4036;
2019-05-20;159,10;159,20;161,85;162,25;157,85;159,10;159,632;2360334;376791917,69;5335;
2019-05-17;162,55;162,60;164,75;164,75;161,35;162,60;162,563;2502675;406849692,95;5920;
2019-05-16;164,30;164,40;161,25;164,90;159,85;164,90;163,172;3158465;515482969,06;5781;
2019-05-15;161,05;161,15;162,05;162,20;158,80;161,25;160,271;2698802;432507403,37;5763;
2019-05-14;161,05;161,15;159,30;161,25;159,05;160,95;160,708;2466802;396428435,24;6174;
2019-05-13;158,55;158,65;162,25;162,25;158,05;158,60;159,439;2925595;466505811,05;6856;
2019-05-10;162,00;162,05;163,65;165,85;161,25;162,25;162,954;3479936;567159414,09;6335;
2019-05-09;162,10;162,15;164,95;165,05;161,90;162,30;163,216;2798805;456825546,52;5947;
2019-05-08;166,50;166,60;164,45;166,75;164,45;166,55;165,931;3461969;574430971,16;6795;
2019-05-07;164,80;164,90;168,20;169,35;164,25;164,80;166,367;3521624;585884490,69;8060;
2019-05-06;167,55;167,60;166,05;167,95;164,75;167,95;166,407;4205785;699874420,23;8193;
2019-05-03;170,30;170,40;171,70;172,40;170,20;170,30;170,86;4109437;702137682,4;7718;
2019-05-02;172,10;172,25;174,70;175,10;171,85;171,85;173,119;4385393;759036671,37;7938;
2019-04-30;175,75;175,85;174,90;176,50;174,30;175,65;175,521;4065708;679896902,89;3666;
2019-04-29;178,35;178,40;177,00;178,85;176,85;178,40;178,137;2912974;518860331,98;6499;
2019-04-26;177,15;177,25;179,00;179,15;177,00;177,00;177,613;3221857;572314522,08;6169;
2019-04-25;179,65;179,75;179,00;182,45;178,00;179,15;180,174;5704407;1028450921,37;10987;
2019-04-24;178,65;178,70;174,80;178,95;173,95;178,95;178,00;3918595;697498027,42;7621;
2019-04-23;174,30;174,40;176,00;177,55;173,65;174,55;174,723;6216957;1086070501,98;9468;
2019-04-18;174,95;175,10;169,90;179,40;164,40;175,75;172,376;7673188;1315447169,39;15225;
2019-04-17;169,20;169,30;167,50;169,65;166,65;169,65;168,637;3884606;655139454,68;8227;
2019-04-16;167,50;167,60;169,00;169,75;166,95;167,60;167,832;3070234;515263428,23;5745;
2019-04-15;168,05;168,15;168,45;169,05;167,50;168,50;168,401;2131969;358996194,62;4613;
2019-04-12;167,80;167,85;166,40;168,85;165,80;168,45;168,007;3318769;557787683,23;6786;
2019-04-11;166,85;166,95;166,10;167,65;165,40;166,40;166,583;2920944;486583392,26;5411;
2019-04-10;166,10;166,20;164,05;166,20;163,90;166,10;165,499;2471855;409049019,52;5675;
2019-04-09;164,10;164,20;164,10;165,40;163,20;164,05;164,289;2594791;426207798,6;5715;
2019-04-08;164,15;164,20;163,80;164,35;163,20;164,10;163,90;2187265;358484982,07;4575;
2019-04-05;164,45;164,55;161,10;164,65;161,10;164,10;163,553;2616637;427857484,59;5795;
2019-04-04;161,10;161,20;161,15;161,95;159,75;161,15;161,184;3131093;504708194,32;5597;
2019-04-03;160,80;160,85;159,50;161,60;159,50;161,25;161,013;3563996;573490525,12;5332;
2019-04-02;158,25;158,35;156,15;158,95;155,65;158,55;157,866;3072518;485032786,07;6484;
2019-04-01;155,72;155,82;152,16;155,86;152,16;155,48;154,635;2943226;455115436,52;6786;
2019-03-29;150,75;150,85;149,30;151,30;149,30;151,00;150,699;3178793;479035632,13;5291;
2019-03-28;148,65;148,75;148,25;150,15;147,60;148,85;149,054;2739126;408328108,66;5627;
2019-03-27;148,35;148,45;147,80;149,90;147,70;148,30;148,474;2535866;376524802,9;5582;
2019-03-26;148,25;148,35;147,85;149,20;145,80;147,90;147,164;3487097;513166780,81;7598;
2019-03-25;150,55;150,70;150,95;151,35;149,15;150,15;150,219;2464046;370140883,77;4666;
2019-03-22;151,65;151,75;156,95;156,95;151,55;151,65;152,941;2530324;387109627,67;5943;
2019-03-21;155,95;156,05;154,70;157,10;154,35;156,00;155,851;2363760;368387669,72;5365;
2019-03-20;154,75;154,85;156,15;156,75;154,65;154,70;155,381;2222333;345538844,63;4643;
2019-03-19;157,05;157,15;155,20;157,85;154,80;157,15;156,906;2207175;346177271,01;4604;
2019-03-18;154,50;154,60;154,70;156,10;154,05;155,00;154,986;2317866;354098961,24;3576;
2019-03-15;154,70;154,80;153,85;155,10;152,40;154,70;154,441;4945925;763423189,8;8304;
2019-03-14;153,75;153,80;152,00;153,90;151,35;153,85;153,086;3403715;521022261,01;5330;
2019-03-13;151,90;152,00;148,60;152,15;148,25;152,15;151,315;2908893;440052578,95;4643;
2019-03-12;148,80;148,90;150,00;150,80;148,75;149,00;149,433;1971209;294507004,46;3293;
2019-03-11;149,50;149,55;148,70;149,55;148,10;149,50;149,084;1599943;238514065,6;3504;
2019-03-08;148,00;148,10;147,45;148,25;145,80;148,25;147,481;2692782;397113465,01;5661;
2019-03-07;148,65;148,75;152,40;152,40;148,00;149,00;149,707;2855018;427480083,87;6440;
2019-03-06;152,40;152,50;153,15;154,40;151,70;152,40;152,929;2860089;437529826,17;6031;
2019-03-05;153,35;153,50;155,45;155,45;151,85;153,35;153,07;2822875;432205376,65;6243;
2019-03-04;155,35;155,45;155,05;156,20;154,85;155,55;155,591;2184238;339842313,17;3647;
2019-03-01;154,15;154,25;152,60;155,35;152,60;154,40;154,015;2497151;384480230,43;4803;
