sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;73,72;73,78;74,36;75,36;73,52;73,80;74,276;2726704;202543440,05;4902;
2019-06-04;74,26;74,30;73,54;74,38;72,82;74,24;73,792;4002184;295301256,4;5156;
2019-06-03;73,80;73,84;72,22;74,32;71,04;73,74;73,086;3645120;266442691,45;6732;
2019-05-31;72,58;72,64;72,84;72,96;71,20;72,62;72,107;3922130;282849336,79;7357;
2019-05-29;73,46;73,52;74,10;74,12;73,18;73,38;73,475;1865355;137056954,92;4006;
2019-05-28;74,50;74,54;75,50;75,78;74,34;74,44;74,703;2799439;209194609,26;5165;
2019-05-27;75,24;75,30;76,00;76,10;75,06;75,30;75,508;967620;73061354,79;2313;
2019-05-24;75,38;75,44;75,36;76,50;75,30;75,30;75,741;2446674;185347390,28;5128;
2019-05-23;75,02;75,06;76,82;76,82;74,92;75,04;75,427;2898247;218618307,71;5092;
2019-05-22;77,12;77,18;77,20;78,36;76,68;77,10;77,472;2523339;195494766,81;5001;
2019-05-21;77,12;77,16;76,40;77,28;76,40;77,10;76,956;2028644;156331315,91;3847;
2019-05-20;76,16;76,20;78,50;78,82;76,06;76,14;76,778;2038757;156591818,68;4383;
2019-05-17;78,30;78,36;77,82;78,44;76,70;78,44;77,564;2611510;202541583,58;5836;
2019-05-16;78,10;78,12;76,78;78,18;76,04;78,08;77,322;2648461;204713058,05;4840;
2019-05-15;76,72;76,74;77,68;77,94;75,96;76,78;76,725;2119562;162618780,49;4519;
2019-05-14;77,60;77,62;77,94;78,60;77,28;77,50;77,617;2499975;194052272,85;3745;
2019-05-13;77,70;77,74;80,52;80,70;77,28;77,64;78,27;2612368;204468242,63;5420;
2019-05-10;80,32;80,38;80,52;81,10;79,94;80,54;80,361;2257485;181410076,24;3850;
2019-05-09;79,88;79,92;79,46;80,10;78,40;80,02;79,604;2791704;222209784,46;5530;
2019-05-08;79,88;79,96;80,10;81,08;78,94;79,90;79,785;3247808;258986703,16;6091;
2019-05-07;79,94;79,98;82,96;83,48;79,62;80,04;81,15;4025992;326759932,92;6431;
2019-05-06;82,96;83,02;82,76;83,02;81,32;83,00;82,23;2111029;173511099,73;4352;
2019-05-03;83,62;83,66;82,84;83,92;82,70;83,60;83,65;1915034;160193071,47;3217;
2019-05-02;82,74;82,80;83,18;83,90;82,54;82,82;83,072;2639494;219275456,77;4932;
2019-04-30;82,92;82,98;84,34;84,70;82,62;82,82;83,26;1584467;131925824,67;2726;
2019-04-29;84,00;84,08;82,50;84,42;82,50;84,12;83,888;3188039;267379478,89;5975;
2019-04-26;82,34;82,38;84,00;84,10;81,98;82,32;82,476;3333957;274973173,6;6664;
2019-04-25;83,18;83,24;81,48;83,56;81,06;83,42;82,888;3816376;316354827,05;6647;
2019-04-24;81,06;81,08;81,18;82,40;80,80;81,28;81,487;3428101;279366066,34;5187;
2019-04-23;81,16;81,18;82,02;82,04;80,66;81,34;81,192;2103834;170812637,89;3596;
2019-04-18;81,54;81,58;81,00;81,60;80,40;81,40;81,195;702965;57075603,74;1260;
2019-04-17;80,82;80,86;81,00;81,30;79,78;80,84;80,564;2133055;171838349,14;3690;
2019-04-16;81,00;81,02;81,60;82,58;80,64;81,00;81,372;2073053;168674597,68;3755;
2019-04-15;81,46;81,52;82,72;82,72;81,28;81,58;81,66;2786483;227547460,66;4240;
2019-04-12;82,66;82,70;81,48;83,14;81,24;82,72;82,594;2058042;170011364,39;3358;
