sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;85,96;85,98;85,80;86,06;85,04;85,98;85,754;3374768;289393523,85;4301;
2019-06-04;85,54;85,56;84,20;85,98;83,98;85,80;85,401;4239282;362040315,28;5815;
2019-06-03;84,28;84,30;83,96;84,40;83,34;84,26;84,062;4307507;362088748,9;5292;
2019-05-31;83,96;84,00;85,24;85,50;83,92;84,26;84,321;4704068;396648451,35;6173;
2019-05-29;85,98;86,00;86,24;86,78;85,74;85,74;86,014;1856686;159707214,99;2575;
2019-05-28;86,70;86,72;86,90;87,30;86,02;86,68;86,597;4990874;432190302,99;5411;
2019-05-27;86,96;87,00;87,90;88,34;86,90;87,22;87,293;2134341;186311592,57;2964;
2019-05-24;87,64;87,68;87,16;87,96;87,16;87,70;87,673;2490645;218361989,47;4015;
2019-05-23;87,02;87,08;87,62;88,20;86,86;87,24;87,433;3767130;329381145,41;5100;
2019-05-22;88,02;88,08;89,24;89,34;87,72;88,00;88,185;3112795;274478942,75;4667;
2019-05-21;88,92;88,98;89,68;89,78;88,80;89,24;89,156;2258712;201356123,93;3195;
2019-05-20;89,08;89,12;89,50;90,06;88,64;88,92;89,22;3696933;329957172,93;4579;
2019-05-17;89,24;89,26;90,30;90,40;88,26;89,24;89,247;4899524;437244025,48;6848;
2019-05-16;89,44;89,48;89,44;89,64;88,30;89,56;89,093;3512951;312897020,77;4871;
2019-05-15;89,10;89,12;89,30;89,48;88,46;89,42;89,054;2953802;263036471,16;4340;
2019-05-14;89,12;89,16;88,72;89,38;88,40;89,36;89,097;2232975;198937574,68;3189;
2019-05-13;88,98;89,00;89,12;89,58;88,60;88,60;88,889;3497646;310913538,64;5082;
2019-05-10;89,08;89,12;88,80;90,54;88,58;89,28;89,343;4457167;398228440,8;6086;
2019-05-09;88,34;88,36;88,32;88,90;87,70;88,30;88,313;3798753;335478669,71;5315;
2019-05-08;89,02;89,06;88,74;89,22;87,94;89,02;88,779;3355852;297922806,89;4470;
2019-05-07;88,80;88,84;91,38;91,76;88,44;88,64;89,398;6039055;539882273,52;7435;
2019-05-06;91,36;91,38;90,90;91,38;89,92;91,24;90,673;3341383;302969886,6;4258;
2019-05-03;91,80;91,84;91,26;92,38;91,04;91,72;91,844;5851690;537477797,85;5012;
2019-05-02;91,16;91,22;90,18;92,02;90,18;91,26;91,327;5730965;523394805,06;7397;
2019-04-30;90,48;90,52;91,00;91,44;90,04;90,62;90,531;5420992;490795678,57;7954;
2019-04-29;92,48;92,52;91,16;92,76;90,20;92,70;91,984;5689697;523510991,1;7608;
2019-04-26;92,70;92,72;91,30;92,96;90,78;92,96;92,305;4689234;432825127,37;5638;
2019-04-25;91,32;91,36;91,14;91,74;90,60;91,42;91,298;4704500;429505194,04;5966;
2019-04-24;91,30;91,34;91,20;91,72;90,82;91,32;91,288;3943297;359975357,09;4958;
2019-04-23;91,24;91,28;91,26;91,66;90,78;91,20;91,224;4224695;385390429,27;5098;
2019-04-18;91,36;91,40;91,28;91,60;90,76;91,26;91,238;2526305;229909478,26;2766;
2019-04-17;91,42;91,46;90,80;91,74;90,44;91,64;91,342;3751917;342705038,38;4979;
2019-04-16;91,24;91,26;90,40;91,80;90,24;91,38;91,282;4057832;370409101,48;5149;
2019-04-15;90,20;90,26;90,24;90,96;89,82;90,50;90,343;4890344;441800804,25;6323;
2019-04-12;90,30;90,32;88,80;90,40;88,40;90,40;89,776;6953830;624804010,69;7152;
2019-04-11;88,82;88,90;87,70;89,14;87,12;88,80;88,346;6261367;553125369,24;8366;
2019-04-10;87,96;88,00;87,48;88,38;86,64;88,10;87,942;4938757;434322367,89;7685;
2019-04-09;87,26;87,30;86,10;87,80;86,10;87,26;87,143;5257454;458150456,58;7205;
2019-04-08;85,50;85,54;85,84;85,92;85,32;85,78;85,693;4108750;352075475,34;4507;
2019-04-05;85,92;85,94;86,00;86,32;85,52;85,70;85,82;3787629;325057953,46;4839;
2019-04-04;86,18;86,24;85,54;86,74;85,12;86,04;85,971;4604261;395761372,32;5689;
2019-04-03;85,36;85,40;84,50;85,62;84,50;85,62;85,231;6801043;579379000,5;9031;
2019-04-02;83,82;83,86;82,16;84,88;81,86;83,92;83,811;7704317;645707889,03;10547;
2019-04-01;81,77;81,80;80,88;82,40;80,87;81,98;81,658;8615645;703509685,57;11018;
2019-03-29;80,16;80,20;81,40;81,72;78,88;80,48;80,424;14534308;1168863015,55;18333;
2019-03-28;81,80;81,86;87,70;88,12;81,42;81,80;83,555;16930910;1418428213,12;20241;
2019-03-27;88,06;88,12;88,50;89,52;87,64;87,90;88,435;12147864;1074992512,31;14243;
2019-03-26;95,10;95,14;94,50;95,48;94,20;95,10;94,979;6952245;660309161,27;9242;
2019-03-25;94,56;94,62;94,04;95,06;93,64;94,36;94,37;4174830;393975411,34;5486;
2019-03-22;94,26;94,32;95,40;95,70;94,06;94,06;94,535;3813482;360513455,4;4593;
2019-03-21;95,26;95,30;94,48;95,36;93,90;95,34;94,902;4008965;380415428,04;4831;
2019-03-20;94,88;94,94;95,50;95,84;94,44;94,44;94,988;4969084;472051890,65;5622;
2019-03-19;95,44;95,46;96,18;97,10;94,88;95,42;95,812;4911537;470760917,05;5810;
2019-03-18;95,96;96,00;95,10;96,76;95,10;96,18;96,097;5620945;538218010,72;5730;
2019-03-15;94,16;94,22;93,40;94,34;92,50;94,14;93,95;7824132;734985137,08;6808;
2019-03-14;93,26;93,32;92,10;93,36;92,10;93,36;93,116;4609299;429159123,23;6115;
2019-03-13;91,96;92,02;92,54;93,10;91,12;92,00;92,177;8170025;753355139,3;9082;
2019-03-12;92,48;92,52;93,48;93,64;92,44;92,54;92,723;3792917;351698345,87;5436;
2019-03-11;93,32;93,36;93,08;93,70;93,08;93,28;93,325;3581247;334219127,39;4818;
2019-03-08;92,88;92,90;92,50;93,04;92,06;92,82;92,688;2299024;213088941,68;3869;
2019-03-07;92,88;92,94;93,90;94,36;92,68;92,90;93,417;4531532;423359547,88;6570;
2019-03-06;93,00;93,04;94,06;94,06;92,68;93,26;93,221;4918192;458459620,1;5321;
2019-03-05;93,88;93,94;94,20;94,76;92,88;93,88;93,708;4683554;438866806,75;6371;
2019-03-04;94,28;94,34;94,84;94,96;92,76;94,22;93,912;5527488;519057884,62;6518;
2019-03-01;94,76;94,80;94,74;95,36;94,38;94,76;94,782;4189905;397127316,43;4829;
2019-02-28;93,98;94,00;93,54;94,40;92,24;94,02;93,635;5309972;497168330,32;6169;
2019-02-27;94,14;94,20;92,10;94,58;92,10;94,20;93,713;4086732;382980010,65;5969;
2019-02-26;93,06;93,10;93,50;93,92;92,86;93,10;93,293;4694077;437931677,95;6351;
2019-02-25;93,62;93,66;94,00;94,42;93,12;93,56;93,637;3669241;343576086,08;5262;
2019-02-22;93,06;93,10;91,20;93,66;91,10;93,24;92,719;6448988;597809618,17;8630;
2019-02-21;91,14;91,20;95,00;95,10;90,68;91,12;91,913;10992437;1010358375,19;14428;
2019-02-20;95,12;95,16;98,64;99,38;94,62;94,96;96,025;9487411;911082774,89;12805;
2019-02-19;99,26;99,30;97,58;99,36;97,58;99,10;98,765;3399719;335817325,01;3766;
2019-02-18;97,88;97,90;98,06;98,44;97,26;97,76;97,749;3476862;339758609,09;4131;
2019-02-15;97,90;97,96;95,34;98,18;95,28;98,16;97,588;7227353;705288157,87;7219;
2019-02-14;95,40;95,44;96,24;96,24;94,80;95,34;95,355;3395672;323801675,54;4950;
2019-02-13;95,56;95,62;96,18;96,18;95,16;95,70;95,675;3832463;366670157,06;4317;
2019-02-12;95,72;95,76;96,00;96,24;95,04;95,92;95,62;4811244;459878352,09;5183;
2019-02-11;95,58;95,60;95,30;96,02;95,04;95,48;95,583;3887976;371628819,14;5478;
2019-02-08;94,96;95,00;95,74;96,06;94,70;95,02;95,153;4038046;384240209,21;5420;
2019-02-07;95,82;95,86;96,80;97,38;95,74;95,74;96,349;3941226;379839625,79;5042;
2019-02-06;96,84;96,88;97,48;98,32;96,60;96,78;97,233;6430391;625467810,35;6396;
2019-02-05;97,64;97,66;96,50;98,10;96,50;97,80;97,484;3913314;381474259,93;4621;
2019-02-04;96,44;96,46;96,18;96,54;95,34;96,42;96,117;3266084;313911353,72;4026;
2019-02-01;95,82;95,86;95,22;96,22;95,04;95,84;95,796;6302551;603779767,87;6961;
2019-01-31;94,96;95,00;95,94;96,70;94,10;94,80;95,006;9244960;877747458,11;10503;
2019-01-30;95,34;95,38;93,00;95,64;91,38;95,24;94,392;8020359;757027566,04;9902;
2019-01-29;90,96;91,00;90,66;91,48;90,08;90,90;90,799;4874630;442608790,17;6237;
2019-01-28;91,28;91,32;92,60;92,62;91,02;91,14;91,384;3226073;294819160,48;4960;
2019-01-25;92,70;92,76;92,00;92,98;91,86;92,60;92,672;3718672;344629673,46;4494;
2019-01-24;91,60;91,66;90,88;91,74;90,64;91,60;91,393;3942942;360358047,05;3935;
2019-01-23;90,84;90,88;91,20;91,62;90,62;90,74;90,99;4193071;381785697,55;3671;
2019-01-22;91,36;91,40;91,50;91,74;90,76;91,24;91,244;3033001;276694882,67;3197;
2019-01-21;91,62;91,68;92,00;92,20;91,34;91,60;91,611;1887622;172999643,25;2684;
2019-01-18;91,74;91,78;91,30;92,16;91,08;91,94;91,835;4435173;407303806,77;6127;
2019-01-17;90,40;90,42;90,36;91,52;90,00;90,50;90,70;3337513;302714914,55;4863;
2019-01-16;90,66;90,72;89,90;91,18;89,58;90,82;90,481;4164266;376761014,92;4437;
2019-01-15;89,46;89,50;90,20;90,74;89,08;89,46;89,683;3310079;296863801,28;4468;
2019-01-14;89,80;89,84;89,40;90,14;89,12;89,74;89,608;3640627;326224552,91;4969;
2019-01-11;89,48;89,50;90,06;90,38;89,04;89,54;89,464;4034349;360917176,24;5101;
2019-01-10;89,92;89,98;88,24;90,18;88,24;90,06;89,662;3593149;322150887,7;4977;
2019-01-09;88,68;88,72;88,70;89,16;88,12;88,80;88,743;2611093;231717129,19;3384;
2019-01-08;88,36;88,40;87,60;88,94;87,50;88,62;88,527;4244185;375722408,25;4948;
2019-01-07;87,56;87,60;89,86;90,04;86,46;87,68;87,834;5956442;523212746,77;6725;
2019-01-04;89,02;89,04;87,84;89,52;87,10;89,34;88,882;3560239;316407555,54;4119;
2019-01-03;86,92;86,98;86,06;87,32;85,78;86,88;86,652;4465847;386945872,89;6007;
2019-01-02;86,16;86,20;85,10;86,52;83,94;86,22;85,465;3201467;273578869,21;4338;
2018-12-28;85,94;86,00;85,00;86,80;85,00;86,10;86,148;3955195;340729066,22;4858;
2018-12-27;84,90;84,94;86,20;86,74;84,58;84,86;85,348;4222354;360628915,5;5005;
