sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;160,50;160,65;158,75;161,20;157,80;161,20;159,793;1891253;302227001,92;3379;
2019-06-04;159,25;159,35;159,15;159,75;156,00;159,40;158,555;1327094;210404981,09;4017;
2019-06-03;159,00;159,15;156,70;159,15;155,20;159,15;158,191;958090;151553613,59;2951;
2019-05-31;156,15;156,35;161,75;161,75;156,15;157,25;157,704;1624228;256165958,37;4159;
2019-05-29;161,50;161,60;161,65;162,30;159,10;161,75;160,88;570881;91813090,37;2283;
2019-05-28;161,95;162,05;161,30;162,30;160,50;162,15;161,708;1135243;183556752,41;3775;
2019-05-27;161,60;161,70;162,10;162,70;160,95;161,90;161,781;509721;82462903,25;2016;
2019-05-24;161,60;161,70;160,75;162,85;160,75;161,65;162,19;718735;116571057,89;2516;
2019-05-23;160,50;160,60;161,00;161,60;160,30;160,50;160,756;948167;152429748,2;3581;
2019-05-22;162,15;162,30;162,75;163,10;160,95;162,15;162,014;788435;127732974,07;2346;
2019-05-21;162,50;162,60;162,20;164,05;161,65;162,95;163,014;750735;122353250,91;2712;
2019-05-20;161,70;161,75;161,35;162,55;161,00;161,75;161,769;853056;137994440,27;3355;
2019-05-17;161,20;161,25;164,00;164,65;160,35;161,25;161,703;1457622;235708371,94;5489;
2019-05-16;165,10;165,20;164,60;165,55;162,20;165,10;164,312;1096913;180221610,43;3445;
2019-05-15;164,10;164,25;164,55;164,75;162,45;164,50;164,01;942532;154462569,38;2416;
2019-05-14;163,70;163,80;161,85;163,90;161,85;163,75;163,353;713937;116617545,16;2546;
2019-05-13;161,70;161,85;162,90;163,55;161,00;161,40;161,932;1000433;162021711,81;3284;
2019-05-10;162,85;162,95;162,75;163,85;161,85;162,85;162,904;765516;124718222,94;2651;
2019-05-09;161,75;161,85;161,90;163,00;160,70;162,10;162,098;1142235;185153123,18;3317;
2019-05-08;162,05;162,25;162,05;164,45;162,00;163,05;163,099;1363902;222446834,03;4075;
2019-05-07;162,50;162,65;160,90;166,15;160,00;162,65;163,643;5124471;831593162,14;6163;
2019-05-06;163,60;163,75;164,05;170,05;161,00;164,00;164,521;2276443;374538966,61;6393;
2019-05-03;166,05;166,15;164,40;166,45;164,10;166,00;165,686;2238269;370859901,55;4886;
2019-05-02;163,75;163,90;164,05;165,15;162,95;164,40;163,99;1532241;251266320,66;3655;
2019-04-30;165,50;165,55;164,00;166,00;164,00;166,00;165,459;1537712;254365160,81;2887;
2019-04-29;165,75;165,90;166,00;166,50;164,60;166,00;165,657;843701;139792030,16;2564;
2019-04-26;165,40;165,50;165,00;165,80;163,50;165,80;164,976;943506;155653367,73;2107;
2019-04-25;164,65;164,75;166,10;166,90;164,60;165,20;165,15;773754;127784878,68;2448;
2019-04-24;165,30;165,45;163,95;165,75;163,35;165,75;165,045;1098169;181238354,61;2744;
2019-04-23;163,35;163,45;161,00;163,75;160,65;163,75;162,834;1194367;194476394,67;2770;
2019-04-18;159,75;159,80;161,05;161,40;158,10;160,25;160,184;903142;143120644,2;2642;
2019-04-17;162,25;162,35;161,30;162,85;161,05;162,60;162,207;1086301;176215198,96;3227;
2019-04-16;161,85;161,95;161,85;162,25;160,80;161,95;161,883;747172;120960879,19;2472;
2019-04-15;160,95;161,10;160,00;161,35;159,95;161,35;161,073;899876;144941409,78;2962;
2019-04-12;159,90;160,00;160,35;161,00;159,40;159,90;159,951;955769;152823735,46;2456;
2019-04-11;159,85;160,00;158,85;160,80;158,85;160,15;159,832;1001451;160053816,06;2703;
2019-04-10;159,15;159,30;155,35;160,05;155,35;158,85;158,298;1825811;289111945,35;4266;
2019-04-09;155,30;155,40;157,15;157,40;155,05;155,35;155,926;782841;122086466,27;2744;
2019-04-08;156,95;157,05;156,45;157,45;156,25;156,80;156,865;703890;110420829,86;2179;
2019-04-05;157,10;157,20;156,45;157,35;156,45;157,00;156,953;963919;151283040,34;2659;
