sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;92,92;92,96;93,58;93,72;92,20;92,82;92,913;4448962;413375957,87;6631;
2019-06-04;93,92;93,96;92,78;93,98;92,34;93,98;93,428;5590806;522306905,5;7638;
2019-06-03;92,80;92,84;93,32;93,32;92,14;92,82;92,567;4552661;421414828,33;6551;
2019-05-31;93,48;93,52;94,52;94,92;93,46;93,52;93,684;6324973;592562753,75;7424;
2019-05-29;95,08;95,12;95,50;95,78;94,88;95,10;95,16;2519876;239793443,43;3684;
2019-05-28;95,84;95,86;97,34;97,34;94,66;95,74;95,639;5609757;536510406,89;7661;
2019-05-27;97,00;97,06;98,80;98,92;96,84;97,20;97,333;1871713;182182875,94;3500;
2019-05-24;97,78;97,80;97,76;98,24;97,42;97,80;97,837;3388024;331473235,5;5475;
2019-05-23;97,68;97,70;98,70;99,06;97,58;97,80;97,987;4022931;394206298,21;5632;
2019-05-22;98,62;98,68;100,55;100,80;98,42;98,80;98,96;3836044;379629529,96;7722;
2019-05-21;100,75;100,80;101,00;101,30;100,65;101,00;100,975;2735111;276176675,76;2865;
2019-05-20;100,65;100,75;101,20;101,40;99,98;100,60;100,633;2575929;259227224,13;3331;
2019-05-17;101,05;101,10;101,60;101,85;100,35;101,20;101,036;4241467;428529590,8;4566;
2019-05-16;101,75;101,85;101,10;102,05;100,30;101,85;101,203;3263447;330265462,22;3319;
2019-05-15;101,10;101,15;101,70;101,85;100,35;101,35;100,965;2097792;211800910,96;2977;
2019-05-14;101,35;101,45;101,00;101,65;100,40;101,65;101,265;2719306;275353793,94;3334;
2019-05-13;101,20;101,30;101,00;101,40;100,40;101,00;100,95;4643512;468750131,55;4761;
2019-05-10;100,90;100,95;100,80;101,90;100,20;101,15;101,081;3254108;328913910,53;4496;
2019-05-09;100,30;100,35;101,50;101,60;100,30;100,60;100,82;2776625;279948550,6;3467;
2019-05-08;102,05;102,15;101,50;102,35;101,05;102,35;101,979;2977916;303684593,43;3483;
2019-05-07;101,65;101,75;104,10;104,50;101,60;101,95;102,308;3314982;339177181,84;3796;
2019-05-06;104,00;104,05;103,65;104,30;102,50;104,30;103,65;1995063;206805023,51;2378;
2019-05-03;104,60;104,70;104,70;105,45;104,20;104,65;104,721;3552770;372064218,83;4407;
2019-05-02;104,15;104,20;103,40;105,15;103,35;104,65;104,496;5125664;535610024,41;6376;
2019-04-30;104,00;104,05;104,70;104,90;103,40;103,65;103,728;2576273;267236301,11;2824;
2019-04-29;104,45;104,55;105,00;105,25;103,85;104,65;104,538;3593891;375709730,54;4580;
2019-04-26;104,40;104,50;104,20;105,05;103,25;104,85;104,454;4763517;497536196;4941;
2019-04-25;104,20;104,30;104,45;104,80;103,70;104,20;104,269;4292143;447521619,27;4549;
2019-04-24;104,30;104,35;105,20;105,40;104,20;104,20;104,521;3166101;330947124,42;3725;
2019-04-23;105,25;105,35;104,65;105,45;103,55;105,20;104,808;4561750;478088065,49;5638;
2019-04-18;104,30;104,35;103,00;104,50;102,90;104,10;103,994;2297686;238963228,74;3260;
2019-04-17;103,00;103,05;103,40;104,80;101,60;103,15;103,295;5999869;619766273,41;7648;
2019-04-16;105,75;105,85;105,85;106,30;105,10;106,05;105,798;3631577;384189318,91;4185;
2019-04-15;105,20;105,25;104,85;105,55;104,50;105,55;105,162;4994133;525173166,67;6261;
2019-04-12;104,60;104,70;103,75;105,70;103,55;104,45;104,808;4362013;456939753,1;4206;
2019-04-11;104,10;104,20;104,00;104,80;103,40;103,95;104,108;3043709;316868438,78;3557;
2019-04-10;104,05;104,10;103,00;104,15;102,70;104,00;103,848;3377345;350728977,65;4631;
2019-04-09;102,95;103,05;101,20;103,25;101,10;103,05;102,821;4020524;413401140,07;4941;
2019-04-08;101,65;101,70;102,05;102,05;101,40;101,50;101,602;3648949;370747621,7;4122;
2019-04-05;102,25;102,35;103,60;103,95;101,85;102,00;102,336;3201724;327642646,47;4170;
2019-04-04;103,30;103,40;102,80;103,75;101,80;103,50;103,088;3921542;404241123,5;5830;
2019-04-03;102,50;102,60;102,15;103,00;102,05;102,65;102,621;3581026;367397074;3956;
2019-04-02;101,30;101,35;98,06;101,95;97,96;101,60;100,554;5490474;552086303,07;7228;
2019-04-01;97,84;97,88;98,00;98,68;97,01;97,83;97,748;6810089;665675864,03;11779;
2019-03-29;98,08;98,12;99,64;99,74;97,68;98,10;98,524;5815249;573012057,25;6625;
2019-03-28;98,92;99,00;100,50;100,50;98,24;99,04;99,194;5938275;589075003,51;10508;
2019-03-27;106,20;106,25;105,20;107,05;104,45;105,70;105,802;6080666;643436252,08;8035;
2019-03-26;104,40;104,50;103,35;104,65;102,70;104,50;104,136;3774599;393064008,7;4265;
2019-03-25;103,05;103,15;103,15;104,35;102,50;103,00;103,221;2669539;275563481,32;3596;
2019-03-22;103,30;103,40;105,00;105,50;103,10;103,20;103,955;3737476;388541060,49;4271;
2019-03-21;105,10;105,20;106,00;106,05;104,75;104,95;105,207;2468203;259677149,43;3730;
2019-03-20;106,30;106,35;106,70;107,15;106,10;106,20;106,483;2520649;268419998,01;3513;
2019-03-19;106,85;106,90;106,45;107,40;106,00;106,75;106,784;3251566;347054892,09;4181;
2019-03-18;106,05;106,15;104,70;106,40;104,70;106,40;106,063;2593105;274975918,26;3272;
2019-03-15;104,35;104,40;103,95;104,70;102,95;104,60;104,273;6088328;634575349,58;5957;
2019-03-14;103,60;103,70;103,20;103,85;103,05;103,60;103,528;3659596;378883369,22;4380;
2019-03-13;103,05;103,15;102,35;103,50;102,35;103,25;103,165;3003874;309885460,57;3723;
2019-03-12;102,80;102,90;104,65;104,85;102,55;102,70;103,027;4216593;434292023,37;4199;
2019-03-11;104,40;104,45;104,70;105,00;104,25;104,35;104,521;2187032;228592335,52;3016;
2019-03-08;104,15;104,20;104,00;104,30;103,35;104,30;103,995;2208718;229639797,52;2674;
2019-03-07;104,50;104,60;104,30;105,65;103,80;104,40;104,567;4398871;459980385,98;5652;
2019-03-06;104,45;104,50;105,50;105,50;104,40;104,65;104,819;3212442;336725879,82;4119;
2019-03-05;105,45;105,50;105,75;106,05;104,95;105,35;105,394;2604420;274488215,68;3233;
