sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;160,05;160,10;158,30;161,85;157,80;160,45;160,011;1775459;284085748,9;5989;
2019-06-04;157,25;157,30;154,15;157,40;153,20;157,40;156,313;1035499;161871026,83;2584;
2019-06-03;154,05;154,20;155,00;155,05;152,10;154,30;153,594;1072686;164751774,68;3035;
2019-05-31;155,10;155,15;155,50;156,10;153,35;155,50;154,993;1530331;237188316,55;4228;
2019-05-29;156,25;156,30;158,00;158,35;156,00;156,55;156,748;457908;71778400,21;1567;
2019-05-28;158,70;158,80;158,80;159,50;157,45;159,25;159,094;1558699;247967279,84;2080;
2019-05-27;158,70;158,85;159,40;159,90;158,55;158,80;158,897;287713;45717682,27;1210;
2019-05-24;159,00;159,05;158,00;159,80;157,85;159,00;159,007;873375;138873214,84;2218;
2019-05-23;157,80;157,85;158,80;159,85;157,85;158,20;158,654;932366;147927244,49;3274;
2019-05-22;160,10;160,20;161,20;161,60;159,80;160,65;160,429;1559505;250464811,24;2335;
2019-05-21;160,75;160,80;159,85;161,05;159,85;161,00;160,765;878164;141119568,33;1890;
2019-05-20;159,25;159,35;159,35;160,70;158,15;159,75;159,499;1023780;163971237,92;2576;
2019-05-17;160,70;160,75;161,80;162,25;159,65;161,15;160,701;1128969;181426342,38;3460;
2019-05-16;161,55;161,60;162,10;162,10;160,35;162,00;161,483;1067345;172355109,98;2883;
2019-05-15;161,75;161,80;162,50;163,05;159,90;162,10;161,381;864844;139554259,43;2576;
2019-05-14;161,35;161,45;159,15;161,85;159,15;161,35;161,045;744242;119854189,14;2412;
2019-05-13;159,40;159,50;160,10;160,70;158,30;158,90;159,138;1012120;161064189,27;2776;
2019-05-10;160,25;160,30;160,30;162,30;159,90;160,10;160,624;794021;127549236,5;1958;
2019-05-09;158,85;158,95;160,70;162,05;158,90;159,20;160,118;999076;159973955,43;2945;
2019-05-08;161,60;161,70;160,10;161,85;159,80;161,50;161,165;1163993;187592928,5;3397;
2019-05-07;160,50;160,60;162,00;163,50;160,20;160,45;161,339;1034342;166853148,01;2989;
2019-05-06;162,55;162,65;161,85;162,65;160,80;162,60;161,875;931456;150733122,88;2526;
2019-05-03;164,65;164,75;164,20;165,35;164,00;164,15;164,474;1305864;214803928,52;3925;
2019-05-02;165,60;165,70;165,00;166,35;163,05;165,70;165,237;1696367;280291758,62;5269;
2019-04-30;165,90;166,00;169,90;170,50;165,30;165,30;166,47;1129092;187991356,2;2919;
2019-04-29;170,00;170,05;169,20;172,20;168,60;170,10;170,398;1970020;335586983,69;4937;
2019-04-26;169,65;169,75;166,50;171,30;165,35;169,60;168,381;4530427;763127850,66;14894;
2019-04-25;177,10;177,15;175,50;177,80;175,35;177,65;177,198;1757833;311473925,78;4341;
2019-04-24;175,55;175,60;174,85;176,25;174,85;175,85;175,698;1135260;199459256,7;3575;
2019-04-23;175,35;175,45;175,35;176,05;174,20;175,50;175,255;1188929;208371061,71;3926;
2019-04-18;175,75;175,85;174,95;176,35;174,65;175,50;175,497;467996;81868546,7;1106;
2019-04-17;174,75;174,85;174,10;175,40;173,60;175,05;174,857;797573;139459483,71;2547;
2019-04-16;173,70;173,80;174,75;175,35;172,90;174,15;174,198;1349452;235072551,74;4180;
2019-04-15;175,60;175,75;176,20;176,65;175,05;175,60;175,709;838518;147337810,21;2528;
2019-04-12;176,20;176,30;175,05;177,85;174,20;176,70;176,773;946939;167386671,42;2471;
2019-04-11;175,80;175,90;174,85;176,90;174,60;176,05;175,986;1163817;204805777,44;3698;
2019-04-10;174,35;174,45;172,15;174,75;172,10;174,75;174,116;1048731;182589149,83;2860;
2019-04-09;172,30;172,40;174,25;174,70;171,95;172,15;172,901;805365;139259062,99;2334;
2019-04-08;174,05;174,15;173,75;174,25;173,00;174,25;173,969;944002;164216184,21;2972;
2019-04-05;174,40;174,50;173,15;174,50;172,85;174,35;173,82;795526;138272395,56;2617;
2019-04-04;173,10;173,20;173,85;174,15;173,05;173,60;173,556;1003102;174094439,55;3277;
2019-04-03;174,10;174,20;174,50;176,70;173,75;174,65;174,737;1688877;295104906,13;3915;
2019-04-02;172,25;172,35;172,20;173,35;172,05;172,60;172,634;1307833;225775919,96;3667;
2019-04-01;173,40;173,55;169,60;173,65;169,25;173,65;172,529;1883021;323659112,94;3927;
2019-03-29;168,65;168,75;168,90;170,30;167,60;168,90;168,844;2329699;388056121,57;5205;
2019-03-28;174,85;174,95;173,85;176,30;173,40;174,55;174,843;2147525;375455553,19;5223;
2019-03-27;173,65;173,80;172,40;174,35;172,30;173,85;173,486;1129790;196004429,48;3688;
