sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;152,25;152,35;152,85;154,65;151,90;152,50;153,009;1464053;224038411,18;3442;
2019-06-04;152,85;152,95;148,50;153,20;147,30;153,00;152,034;1946618;295931705,39;4426;
2019-06-03;149,05;149,15;146,10;149,15;145,65;149,00;147,952;2048321;303022647,04;4562;
2019-05-31;147,60;147,65;148,00;148,25;145,35;147,50;146,917;2660605;390873084,38;7172;
2019-05-29;149,35;149,40;150,70;151,00;149,00;149,00;149,471;1109513;165849934,89;2866;
2019-05-28;152,60;152,70;153,45;153,80;151,55;152,75;152,628;1987858;303400856,65;3417;
2019-05-27;151,70;151,85;153,35;153,95;151,15;151,85;151,881;613076;93115283,18;1659;
2019-05-24;152,10;152,20;152,20;153,85;151,70;152,25;152,755;1219098;186217983,87;3842;
2019-05-23;151,05;151,15;154,25;154,90;150,85;151,25;151,899;1908703;289936920,24;5354;
2019-05-22;155,80;155,90;158,70;158,85;155,40;156,25;156,408;1494568;233760720,07;3840;
2019-05-21;158,15;158,25;159,50;159,50;156,80;158,20;158,067;1512970;239148540,26;3766;
2019-05-20;155,40;155,55;158,00;158,50;154,50;155,50;155,875;1468297;229246437,84;3656;
2019-05-17;158,25;158,30;159,85;160,00;157,10;158,50;158,342;1617990;256186825,1;4903;
2019-05-16;159,80;159,85;158,30;160,25;156,50;160,25;159,292;1689197;269069933,16;4090;
2019-05-15;158,00;158,10;160,40;160,65;154,95;158,30;157,102;2314796;363658295,31;5759;
2019-05-14;159,15;159,30;157,10;159,25;156,40;159,15;158,629;1810447;287182826,33;4083;
2019-05-13;156,30;156,40;161,40;161,40;155,90;156,25;157,467;2286238;360053219,43;5688;
2019-05-10;161,20;161,35;162,50;165,15;160,40;161,60;162,312;1748692;283822347,52;4736;
2019-05-09;161,10;161,20;163,15;163,30;160,80;161,15;161,773;1743264;282021353,39;4482;
2019-05-08;164,40;164,55;163,60;166,40;162,90;164,95;164,479;2390071;393106329,85;6244;
2019-05-07;164,05;164,15;168,50;169,30;163,70;164,20;165,455;2307456;381817193,16;5862;
2019-05-06;168,25;168,35;167,70;168,35;164,95;168,30;166,487;2567753;427475001,38;6852;
2019-05-03;172,20;172,35;172,35;173,95;172,20;172,30;172,812;1293771;223573082,47;3619;
2019-05-02;172,55;172,65;176,05;176,35;172,30;172,55;173,363;2262589;392269828,93;5261;
2019-04-30;175,65;175,75;177,00;178,30;174,85;175,75;176,031;1560724;274750472,34;2577;
2019-04-29;178,25;178,35;176,85;178,40;175,65;178,40;177,365;1985900;352244371,66;4508;
2019-04-26;175,70;175,80;174,20;176,45;174,20;176,00;175,556;2012322;353272359,88;5495;
2019-04-25;174,00;174,10;177,00;180,20;173,90;174,05;176,419;4075551;718956706,04;11805;
2019-04-24;178,25;178,35;175,20;179,00;174,85;179,00;178,304;2850233;508192020,11;6701;
2019-04-23;175,75;175,85;177,45;177,45;174,70;176,00;175,86;1786930;314266005,21;4476;
2019-04-18;177,35;177,45;174,40;178,65;173,20;177,70;176,328;1115070;196134343,3;3168;
2019-04-17;174,55;174,65;172,90;175,10;172,70;174,90;174,319;1463971;255196255,53;3280;
2019-04-16;172,30;172,40;172,80;174,00;171,10;172,70;172,341;2197461;378713947,82;5369;
2019-04-15;171,60;171,75;171,90;172,50;170,80;172,50;172,151;1227669;211317847,79;3068;
2019-04-12;171,50;171,60;168,05;171,90;167,95;171,90;171,277;2363754;404876435,06;4610;
2019-04-11;168,20;168,40;166,30;168,95;165,55;168,00;167,85;2329799;391056489,94;6681;
2019-04-10;168,20;168,30;167,50;168,50;166,45;168,20;167,867;1769346;297010033,78;3755;
2019-04-09;167,00;167,05;167,95;168,65;165,85;166,50;167,106;1793560;299723844,6;4492;
2019-04-08;168,00;168,15;168,55;168,75;167,15;167,95;167,92;1365093;229225496,65;3498;
2019-04-05;169,20;169,30;166,00;169,55;166,00;169,00;168,569;2151937;362744210,94;4898;
2019-04-04;164,85;165,00;165,15;166,45;163,40;165,65;165,377;2175590;359794237,85;4681;
2019-04-03;167,40;167,50;164,95;168,05;164,70;168,05;167,322;2626021;439382889,41;6010;
2019-04-02;162,90;163,00;161,40;163,90;161,00;163,40;162,971;2257358;367882028,83;5049;
2019-04-01;160,70;160,80;156,18;161,10;156,18;161,10;159,562;3018587;481616844,06;7856;
2019-03-29;154,45;154,50;154,00;155,85;153,10;154,40;154,44;2339843;361340708,43;5027;
2019-03-28;157,70;157,80;157,05;159,50;156,15;157,90;158,105;2263526;357877621,63;4580;
2019-03-27;156,75;156,80;155,85;158,45;155,50;156,85;156,988;2410716;378453904,64;5397;
2019-03-26;155,45;155,60;154,15;155,60;152,65;155,25;154,624;1879661;290618869,55;4586;
2019-03-25;154,30;154,45;155,00;155,00;152,45;154,20;153,901;1368275;210586267,89;3483;
2019-03-22;155,15;155,25;161,70;161,70;154,95;155,00;156,61;2175959;340772683,08;5359;
2019-03-21;160,85;160,90;160,95;162,25;159,05;160,75;160,644;1132335;181902189,05;3077;
2019-03-20;161,25;161,35;162,45;162,75;160,65;161,30;161,47;1826924;294993916,6;3807;
2019-03-19;162,30;162,45;160,20;163,10;160,05;162,55;162,151;2036998;330297719,1;5094;
2019-03-18;159,40;159,50;159,80;160,45;158,60;160,20;159,872;1570453;250833036,84;3316;
2019-03-15;159,00;159,15;156,80;159,85;156,10;159,45;159,03;2356757;374778542,2;5343;
2019-03-14;156,35;156,45;156,20;157,15;155,50;156,80;156,404;1843382;288301702,88;4377;
2019-03-13;155,85;155,95;152,05;156,45;151,65;156,45;155,46;1918319;298144204,1;3667;
2019-03-12;152,70;152,75;153,65;154,55;152,35;152,95;153,19;1179910;180765948,06;3443;
2019-03-11;152,90;153,00;151,35;153,10;150,70;153,10;152,637;1725511;263353711,55;3445;
2019-03-08;150,55;150,65;151,00;151,75;149,90;150,50;150,56;1904997;286819717,75;4374;
2019-03-07;152,45;152,60;155,65;155,65;151,70;152,50;152,80;1753910;267985545,02;3877;
2019-03-06;155,50;155,65;155,65;157,60;154,40;155,65;156,078;1945765;303707931,1;4459;
2019-03-05;157,10;157,25;159,05;159,15;156,00;157,35;156,885;1481035;232344868,84;3911;
2019-03-04;158,70;158,85;158,00;159,50;157,75;158,80;158,724;1293639;205331471,32;2695;
