sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;29,93;29,96;30,32;30,47;29,76;29,99;30,116;3274582;98615562,13;3713;
2019-06-04;30,12;30,13;29,23;30,25;29,07;30,18;30,018;4994273;149923603,79;5034;
2019-06-03;29,19;29,22;29,19;29,31;28,33;29,23;28,873;4720182;136277965,01;4488;
2019-05-31;29,07;29,09;30,15;30,25;29,04;29,19;29,258;6297126;184236794,73;5529;
2019-05-29;30,15;30,17;30,93;30,93;29,95;30,24;30,223;4737716;143194014,27;4229;
2019-05-28;31,45;31,48;31,57;31,76;31,13;31,48;31,435;4331206;136150258,95;3612;
2019-05-27;31,36;31,37;31,50;31,85;31,33;31,46;31,517;1431012;45101254,44;1828;
2019-05-24;31,29;31,31;31,10;31,39;30,89;31,27;31,222;2723140;85021313,29;2619;
2019-05-23;30,74;30,77;31,15;31,20;30,56;30,73;30,786;4481314;137988833,18;3317;
2019-05-22;31,46;31,48;32,00;32,08;31,43;31,52;31,642;2575590;81495717,93;2715;
2019-05-21;31,76;31,79;31,18;31,87;31,18;31,87;31,61;3115707;98563922,14;2997;
2019-05-20;31,09;31,12;31,87;31,95;30,86;31,18;31,205;3226039;101738990,3;2663;
2019-05-17;31,91;31,93;32,41;32,41;31,50;31,95;31,807;3064158;97462142,71;3713;
2019-05-16;32,39;32,40;32,10;32,46;31,54;32,41;32,184;3288414;105833125,51;3240;
2019-05-15;32,09;32,11;32,25;32,31;31,31;32,09;31,813;3474477;110533630,53;3180;
2019-05-14;31,87;31,90;31,56;31,96;31,41;31,94;31,777;3432107;109061603,46;3296;
2019-05-13;31,46;31,49;32,62;32,64;31,44;31,52;31,707;3666512;116265887,94;3262;
2019-05-10;32,62;32,64;32,61;33,07;32,43;32,71;32,701;2544713;83213631,67;2585;
2019-05-09;32,37;32,38;33,13;33,22;32,14;32,36;32,413;5129457;166262948,77;4711;
2019-05-08;33,34;33,36;33,37;33,76;32,86;33,42;33,268;3382512;112525120,72;3403;
2019-05-07;33,32;33,34;34,21;34,53;33,23;33,42;33,612;4526851;152152776,1;3414;
2019-05-06;34,43;34,45;34,35;34,53;33,85;34,53;34,305;3392115;116366811,07;2894;
2019-05-03;35,01;35,04;34,90;35,17;34,48;35,08;34,937;4268384;149125348,9;3980;
2019-05-02;34,74;34,77;35,57;35,60;34,69;34,88;34,967;5276944;184517787,01;3933;
2019-04-30;35,74;35,76;36,04;36,10;35,40;35,83;35,765;1522651;54457307,99;1411;
2019-04-29;35,95;35,98;36,40;36,48;35,90;36,01;36,104;2648289;95608776,53;2868;
2019-04-26;36,00;36,02;37,31;37,48;36,00;36,18;36,464;4548863;165880597,34;3834;
2019-04-25;37,29;37,31;37,32;37,91;36,15;37,16;37,222;6653967;247664276,08;5366;
2019-04-24;35,66;35,70;36,15;36,29;35,47;35,77;35,84;5086504;182300634,73;4253;
2019-04-23;36,14;36,18;37,40;37,47;36,12;36,23;36,456;4966384;181059131,76;4696;
2019-04-18;37,27;37,29;37,30;37,41;36,73;37,37;37,11;1345940;49935674,72;1296;
2019-04-17;37,28;37,30;36,32;37,36;36,27;37,28;37,14;3603973;133848571,17;3086;
