sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;137,90;137,95;139,00;139,10;135,70;137,90;137,242;4815408;660741076,05;9873;
2019-06-04;138,20;138,25;135,60;139,90;135,05;138,55;138,318;5076770;702140819,41;12001;
2019-06-03;135,05;135,15;135,70;135,75;134,05;135,10;134,78;2858390;385251956,57;6915;
2019-05-31;136,00;136,05;136,15;137,45;134,50;135,90;135,925;5039956;685055258,61;9318;
2019-05-29;136,75;136,80;138,50;138,50;136,45;136,45;136,971;2557152;350261820,11;6316;
2019-05-28;138,90;138,95;140,50;140,80;137,15;138,80;138,726;5938519;823818005,82;10842;
2019-05-27;140,40;140,50;141,90;142,05;139,75;140,60;140,448;1700094;238773214,75;5665;
2019-05-24;140,50;140,60;139,55;141,35;139,55;140,80;140,649;3127037;439817212,02;7787;
2019-05-23;139,30;139,35;140,00;141,95;138,25;139,55;139,941;3875580;542403071,63;9477;
2019-05-22;139,95;140,05;143,40;143,55;139,80;139,95;140,721;4375317;615699283,63;11511;
2019-05-21;143,05;143,10;144,20;144,30;142,65;143,50;143,437;2792673;400580463,49;6354;
2019-05-20;143,55;143,60;144,00;144,70;142,80;143,50;143,638;2858655;410891236,2;6474;
2019-05-17;144,05;144,10;144,00;144,65;143,05;144,00;143,721;3601439;517600381,78;9030;
2019-05-16;144,45;144,50;144,25;145,15;142,95;145,15;144,24;3498163;504555785,05;7365;
2019-05-15;144,10;144,20;145,75;145,90;142,85;144,05;143,865;3706333;533190683,83;9090;
2019-05-14;145,15;145,20;144,30;145,20;143,85;145,20;144,681;2634559;381170253,19;6388;
2019-05-13;144,55;144,65;146,65;146,65;144,00;144,00;144,923;3227441;467744377,43;8267;
2019-05-10;146,40;146,50;144,00;146,90;144,00;146,65;146,03;3680741;537501556,02;8866;
2019-05-09;143,10;143,15;146,00;146,25;143,10;143,50;144,648;4795443;693665335,61;12629;
2019-05-08;147,20;147,30;147,70;148,95;146,20;147,40;147,435;3527121;520021213,47;9297;
2019-05-07;148,15;148,25;152,40;153,00;148,10;148,30;150,099;3911950;587239030,32;9889;
2019-05-06;152,40;152,45;153,30;153,85;151,25;152,40;152,384;4170270;635514206,01;9163;
2019-05-03;154,95;155,00;153,90;155,20;153,35;155,20;154,604;3864124;597382777,65;8883;
2019-05-02;153,90;154,00;154,05;156,30;152,85;153,45;154,461;5406756;834964058,15;12406;
2019-04-30;154,95;155,00;157,65;157,85;154,05;154,05;155,924;3601086;561714561,56;8861;
2019-04-29;158,30;158,35;156,70;158,45;155,25;157,40;156,853;7275993;1141345333,95;16370;
2019-04-26;154,70;154,75;152,55;155,90;152,25;154,85;153,881;4282299;659081669,98;11608;
2019-04-25;151,80;151,85;151,00;152,35;148,60;152,35;150,421;8098635;1218200386,15;21775;
2019-04-24;154,60;154,65;154,60;155,20;153,55;154,50;154,493;3680939;568677774,27;8236;
2019-04-23;154,30;154,35;155,00;155,30;153,90;154,50;154,464;4025492;621793638,32;9897;
2019-04-18;154,55;154,60;154,90;155,20;153,75;154,85;154,485;2089726;321806527,58;5436;
2019-04-17;154,25;154,30;154,00;155,30;153,70;154,65;154,52;3907871;603844906,02;10791;
2019-04-16;153,60;153,65;151,50;154,00;151,45;153,30;153,109;4192004;641838684,82;10607;
2019-04-15;150,95;151,05;150,00;152,50;149,75;151,00;151,195;3389537;512479832,68;9856;
2019-04-12;149,80;149,85;148,15;149,85;147,55;149,70;149,033;4869150;725947591,76;11365;
2019-04-11;147,60;147,70;147,00;149,00;147,00;148,15;148,136;4017706;595165359,49;9876;
2019-04-10;147,55;147,60;147,00;147,85;145,45;147,00;146,85;4520548;663850830,6;11636;
