sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;417,90;418,20;417,80;426,80;416,00;417,40;420,36;1019364;428509485,65;6788;
2019-06-04;415,00;415,10;411,80;415,50;404,00;415,00;411,861;945317;389289748,45;6637;
2019-06-03;412,70;412,90;427,60;428,30;406,50;413,10;415,236;1185062;492079613,65;8822;
2019-05-31;427,10;427,40;434,00;435,00;424,70;429,20;429,497;991772;425979736,55;6001;
2019-05-29;440,50;440,80;449,70;449,70;434,50;439,80;440,001;375322;165150845,15;3388;
2019-05-28;452,00;452,30;462,30;463,80;451,90;453,30;453,679;2069367;938850207,4;4108;
2019-05-27;461,80;462,00;461,60;466,10;458,50;462,50;462,073;242862;112219314,5;2128;
2019-05-24;461,90;462,20;457,00;465,70;453,30;461,60;461,44;539838;249096335,65;4510;
2019-05-23;455,40;455,70;455,00;458,90;449,60;457,00;455,68;648506;295489897,7;5460;
2019-05-22;454,40;454,60;461,50;464,60;453,40;454,00;455,895;388866;177278957,2;2843;
2019-05-21;461,10;461,30;458,70;467,30;458,50;462,50;463,50;350865;162600587,35;2861;
2019-05-20;457,80;458,10;463,60;464,10;451,70;458,50;457,345;463215;211815409,6;3088;
2019-05-17;462,40;462,60;459,20;463,60;455,60;463,60;460,323;390723;179850567,15;3632;
2019-05-16;460,40;460,60;459,10;462,00;451,80;460,30;457,337;546009;249697334,35;4577;
2019-05-15;459,50;459,80;459,10;463,20;454,10;459,10;458,268;525344;240743561,35;4212;
2019-05-14;459,10;459,40;460,00;462,60;457,00;459,10;459,618;496092;228022220,95;3244;
2019-05-13;460,30;460,50;467,50;468,30;458,30;460,80;462,061;551508;254839591,07;4348;
2019-05-10;467,40;467,70;484,90;490,80;467,30;467,70;475,299;1018302;484012383,15;7477;
2019-05-09;481,20;481,40;461,00;482,30;461,00;482,20;476,079;1046376;498088048,95;8816;
2019-05-08;462,60;463,00;466,30;466,80;460,50;462,10;462,537;899806;416197027,95;6235;
2019-05-07;467,10;467,30;473,00;480,50;465,30;466,30;469,462;623561;292750414,75;5305;
