sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;130,85;130,95;128,35;131,50;127,60;130,75;130,19;1837709;239247305,76;3341;
2019-06-04;128,20;128,30;130,25;130,25;127,60;128,85;128,901;1923698;247969701,75;3625;
2019-06-03;130,05;130,10;130,45;131,10;129,30;130,25;130,16;1604499;208834707,16;2774;
2019-05-31;131,35;131,50;128,50;131,55;127,65;131,10;130,414;4672395;609313156,21;4853;
2019-05-29;129,15;129,20;132,05;132,10;128,80;128,80;129,899;1012179;131486611,75;1960;
2019-05-28;132,10;132,15;130,70;132,45;129,95;132,05;131,59;2356592;310092753,71;3833;
2019-05-27;130,15;130,25;130,25;130,70;129,85;130,05;130,233;744258;96927128,27;1675;
2019-05-24;129,95;130,05;129,60;130,90;129,30;130,25;130,384;2117154;275827049,57;2999;
2019-05-23;129,50;129,55;130,10;130,20;128,30;129,45;129,365;1912302;247370861;3815;
2019-05-22;129,35;129,45;129,30;130,30;129,10;129,40;129,498;1453277;188193127,06;2832;
2019-05-21;129,30;129,35;129,00;129,50;128,60;129,30;129,213;1320085;170568083,2;2386;
2019-05-20;128,90;129,00;128,00;129,40;127,50;128,75;128,633;1356649;174496326,93;2530;
2019-05-17;127,90;128,00;126,90;128,10;126,45;127,95;127,401;1491696;190040740,25;3187;
2019-05-16;127,10;127,20;125,35;127,50;125,35;127,50;126,921;1320525;167581556,87;2194;
2019-05-15;125,00;125,10;125,50;125,75;124,00;125,20;124,883;879110;109786016,84;1833;
2019-05-14;125,35;125,45;124,00;126,40;123,60;125,50;125,472;1033009;129620933,94;1959;
2019-05-13;124,75;124,85;126,80;126,80;124,35;124,75;124,828;1792116;223685276,01;2564;
2019-05-10;126,20;126,30;125,25;127,10;125,25;126,80;126,608;1478314;187159931,29;2123;
2019-05-09;125,05;125,15;125,15;126,25;124,75;124,75;125,151;1726133;216043703,55;2484;
2019-05-08;125,80;125,90;122,60;126,00;122,35;126,00;125,025;2165078;270660715,64;3350;
2019-05-07;122,35;122,40;125,95;126,55;122,15;122,45;123,504;2934546;361831027,82;3979;
2019-05-06;126,55;126,65;127,05;127,35;125,75;126,40;126,481;1634804;206773362,24;2885;
2019-05-03;127,75;127,85;126,00;128,05;125,80;127,60;127,382;1810414;230594749,03;3615;
2019-05-02;126,20;126,30;126,90;127,55;126,05;126,35;126,593;2547444;322488328,05;4756;
2019-04-30;127,20;127,30;129,60;130,00;126,70;126,70;127,649;2225122;284137598,65;3338;
2019-04-29;130,05;130,15;132,00;132,40;129,65;129,90;130,654;2628573;343516353,7;4338;
2019-04-26;131,70;131,80;129,20;132,10;129,20;131,80;131,27;1855257;243540774,41;3635;
2019-04-25;129,30;129,40;127,05;129,55;126,55;129,25;128,678;2260358;290796726,56;3940;
2019-04-24;126,35;126,45;126,10;127,50;122,40;126,40;125,595;4239344;532387640,8;8160;
2019-04-23;123,70;123,75;124,15;124,50;123,10;123,30;123,631;2198406;271804988,89;4269;
2019-04-18;124,70;124,75;124,35;124,90;123,90;124,15;124,319;1462203;179767759,77;2374;
2019-04-17;124,00;124,10;124,00;124,35;122,75;124,30;123,89;1767564;218984900,46;3622;
2019-04-16;124,25;124,30;125,00;125,65;124,05;124,05;124,595;1857516;231444210,17;3466;
2019-04-15;124,95;125,05;125,00;125,90;124,30;125,00;125,135;1785615;223450586,47;3405;
2019-04-12;125,40;125,55;125,00;126,00;124,45;125,15;125,301;1759185;220395381,15;2826;
2019-04-11;125,15;125,25;125,60;126,10;124,95;124,95;125,268;1545246;193578460,64;2661;
2019-04-10;125,65;125,70;124,60;125,80;124,30;125,60;125,433;1384713;173690764,5;2691;
2019-04-09;124,35;124,45;124,00;125,05;123,40;124,50;124,515;1467496;182729677,63;2584;
2019-04-08;123,80;123,85;123,80;124,55;123,30;123,75;123,886;1825346;226139741,29;3341;
2019-04-05;123,80;123,90;123,65;124,00;122,95;123,60;123,47;1686979;208268323,42;3167;
2019-04-04;123,55;123,65;125,45;125,50;123,10;123,80;123,849;1860013;230362071,85;3521;
2019-04-03;125,55;125,65;124,10;126,05;123,50;125,80;125,185;2355408;294779056,36;4438;
2019-04-02;123,75;123,85;124,50;125,05;123,65;123,90;124,187;1874598;232805593,28;3004;
2019-04-01;124,50;124,55;124,00;125,10;123,70;125,05;124,693;2663477;332094631,55;4431;
2019-03-29;124,00;124,10;126,15;126,75;123,85;123,85;124,408;3601853;448160661,22;6003;
2019-03-28;127,10;127,25;127,65;128,10;126,70;127,20;127,196;1825106;232146680,41;3523;
2019-03-27;127,80;127,90;127,65;128,60;126,80;127,55;127,604;1649972;210542589,48;2597;
2019-03-26;127,50;127,65;126,95;128,65;126,95;127,55;127,648;1891151;241412016,83;3600;
2019-03-25;127,75;127,80;127,35;128,40;126,90;127,85;127,696;1680040;214528044,64;3674;
2019-03-22;127,45;127,55;129,45;129,45;126,00;127,45;127,742;2368090;302531415,83;4707;
2019-03-21;129,25;129,35;129,20;129,45;128,50;129,25;129,094;1499873;193594567,71;2873;
2019-03-20;129,10;129,15;129,00;129,95;128,75;128,85;129,187;1544105;199495686,28;3165;
2019-03-19;129,20;129,30;129,90;130,65;128,75;129,35;129,626;2739475;355127750,67;4278;
2019-03-18;129,70;129,75;128,65;129,90;128,50;129,80;129,438;2926692;376821389,15;4382;
2019-03-15;128,05;128,15;126,60;128,25;125,95;128,05;127,682;3302819;421659414,65;4461;
