sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-05;135,20;135,35;136,00;136,10;134,25;135,45;135,224;5123383;692804493,91;8393;
2019-06-04;136,25;136,35;133,70;136,65;132,20;136,45;135,55;5429024;735913441,67;8788;
2019-06-03;133,55;133,60;132,00;133,75;130,95;133,75;132,472;5381859;712889411,43;7819;
2019-05-31;132,90;132,95;134,00;135,50;131,35;132,75;132,428;7036782;931833727,89;11666;
2019-05-29;135,85;135,90;136,80;136,80;135,20;135,50;135,74;1999004;271347731,6;3506;
2019-05-28;137,35;137,40;136,65;138,00;135,80;138,00;137,736;9345176;1287107818,26;6919;
2019-05-27;135,95;136,00;138,00;138,60;135,25;136,15;136,264;2528834;344578107;5312;
2019-05-24;136,90;137,00;136,15;137,90;136,10;137,25;137,182;4572260;627200496,93;7607;
2019-05-23;135,30;135,40;137,30;137,40;135,20;135,20;135,93;5207930;707781280,95;8975;
2019-05-22;138,25;138,30;140,55;140,90;137,95;138,60;138,802;3382460;469493511,98;6161;
2019-05-21;140,25;140,30;138,55;140,65;138,45;140,50;140,118;5380906;754030789,03;7379;
2019-05-20;137,85;137,90;141,30;141,30;137,00;138,00;138,496;3972824;551385893,12;7102;
2019-05-17;141,15;141,20;142,80;143,15;140,05;141,55;141,058;4418324;623240356,36;8195;
2019-05-16;142,60;142,70;142,00;143,05;140,45;143,05;142,104;4005617;569252560,9;7521;
2019-05-15;141,15;141,20;141,65;141,70;138,85;141,70;140,344;4938555;693032980,22;8641;
2019-05-14;140,50;140,55;137,90;140,65;137,60;140,40;139,623;4848584;676950458,07;8820;
2019-05-13;136,60;136,70;140,05;140,40;136,30;136,55;137,189;4333878;594598419,51;7288;
2019-05-10;139,70;139,75;141,40;142,20;138,95;140,05;140,219;4119310;577616303,44;7680;
2019-05-09;139,60;139,65;141,95;141,95;139,55;140,00;140,603;4127228;580322431,91;7386;
2019-05-08;142,85;142,95;140,70;143,45;140,60;143,45;142,41;5543699;789446955,77;9398;
2019-05-07;140,55;140,65;145,50;145,60;140,40;141,00;142,121;8042238;1142975416,23;13674;
2019-05-06;145,70;145,80;145,00;145,75;143,10;145,70;144,404;5177819;747680705,73;10013;
2019-05-03;149,20;149,25;149,75;150,40;148,85;148,90;149,303;4135719;617507962,93;8525;
2019-05-02;149,40;149,50;152,00;152,40;148,35;149,75;150,231;5880342;883422423,39;10183;
2019-04-30;151,75;151,85;152,45;153,15;151,50;152,00;152,194;2295323;349337299,21;3930;
2019-04-29;152,45;152,55;152,50;153,55;151,70;152,80;152,544;3715599;566810025,2;6929;
2019-04-26;152,00;152,10;154,00;154,00;151,70;152,50;152,567;3865616;589787606,86;6697;
2019-04-25;152,90;153,05;152,55;155,00;152,25;153,00;153,71;6739953;1035717944,21;13077;
