sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-10;70,70;71,10;71,00;71,90;70,60;71,00;71,122;125484;8924607,6;641;
2019-06-07;70,80;70,90;70,80;71,60;70,30;70,80;70,813;207445;14689603,85;1023;
2019-06-05;70,50;70,60;71,00;71,40;70,00;70,80;70,569;99422;7016014,7;728;
2019-06-04;70,70;71,00;68,30;71,30;67,50;70,80;69,918;143448;10025812,05;871;
2019-06-03;68,30;68,60;68,50;68,70;67,30;68,20;68,019;131013;8909286,1;765;
2019-05-31;68,50;68,80;70,00;70,40;68,30;68,80;69,015;341559;23485700,35;865;
2019-05-29;69,00;69,10;67,80;70,50;67,70;69,00;69,429;108255;7516403,8;632;
2019-05-28;67,50;67,70;70,50;70,50;66,90;67,90;68,177;347660;23707524,4;1796;
2019-05-27;70,90;71,10;72,00;72,00;70,80;71,20;71,208;53503;3809343,5;398;
2019-05-24;70,90;71,20;71,60;72,20;70,70;71,00;71,074;152452;10835314,4;937;
2019-05-23;71,40;71,50;72,50;72,70;71,00;71,60;71,634;126982;9096407,55;678;
2019-05-22;72,50;72,70;73,10;73,30;72,10;72,70;72,649;63267;4596820,35;455;
2019-05-21;72,50;72,70;72,00;73,30;72,00;72,80;72,74;53100;3862528,9;348;
2019-05-20;72,30;72,60;73,60;73,60;72,00;72,40;72,679;85907;6244149,8;511;
2019-05-17;73,50;73,80;73,90;74,60;73,00;73,70;73,578;67681;4979733,1;464;
2019-05-16;73,90;74,10;72,90;74,50;72,80;74,00;73,604;162301;11947114,6;672;
2019-05-15;73,10;73,30;73,30;74,00;73,00;73,40;73,321;69927;5127307,7;646;
2019-05-14;72,90;73,20;74,40;74,40;72,80;73,30;73,249;68576;5023107,4;560;
2019-05-13;72,90;73,10;74,40;74,50;72,60;73,00;73,224;186670;13668672,2;838;
2019-05-10;74,00;74,30;74,00;75,50;73,80;74,40;74,514;137310;10232097;968;
2019-05-09;74,10;74,40;75,60;75,70;74,20;74,60;74,872;223745;16751103,3;927;
2019-05-08;75,30;75,50;75,10;75,70;74,60;75,60;75,231;148422;11165885,9;820;
2019-05-07;75,00;75,20;75,50;75,50;74,00;75,20;74,847;265009;19835057;1177;
2019-05-06;75,30;75,50;75,60;75,80;73,60;75,70;74,548;203997;15207612,5;1047;
2019-05-03;76,00;76,10;75,30;76,30;74,50;76,30;75,594;176938;13375049,1;911;
2019-05-02;75,60;75,70;76,00;76,20;75,10;75,60;75,582;240162;18151966;1182;
2019-04-30;76,00;76,10;76,00;76,30;75,60;76,00;75,98;181115;13760914,1;802;
2019-04-29;75,60;75,80;75,30;75,90;74,20;75,80;75,216;186338;14015534,8;1265;
2019-04-26;75,20;75,40;73,70;75,40;72,80;75,30;74,437;385139;28667031,1;1876;
2019-04-25;73,40;73,60;73,80;74,20;73,20;73,70;73,636;237579;17493777,35;2088;
2019-04-24;73,70;74,00;74,40;74,90;72,70;73,60;73,601;352589;25951482,1;2439;
2019-04-23;74,40;74,60;76,00;76,40;74,40;74,40;75,327;627928;47297914,1;3539;
2019-04-18;75,70;75,80;78,00;78,00;75,20;75,50;76,207;440346;33560127;2513;
2019-04-17;77,50;77,55;79,10;79,36;77,22;77,50;77,882;665234;51810245,82;5352;
2019-04-16;78,00;78,31;78,93;78,94;74,00;78,50;76,50;1868158;142834207,79;14483;
2019-04-15;83,51;84,47;85,90;85,90;82,00;83,53;84,028;262243;22036300,13;2556;
2019-04-12;83,28;83,44;82,08;83,48;82,08;83,40;82,819;282345;23382866,6;746;
2019-04-11;82,04;82,16;81,40;83,00;81,40;82,04;82,32;254325;20936024,6;758;
2019-04-10;81,68;81,80;82,44;83,04;81,72;81,92;82,014;157095;12884117,8;621;
2019-04-09;82,00;82,16;82,20;83,24;81,60;82,28;82,336;226340;18635820,9;910;
2019-04-08;82,12;82,24;83,80;83,88;80,92;82,16;81,979;439200;36001718,2;1365;
2019-04-05;83,96;84,12;83,92;84,88;83,76;84,00;84,204;294245;24776365,2;983;
2019-04-04;83,80;83,96;83,20;84,16;83,20;83,92;83,935;813270;68261392,7;1790;
2019-04-03;82,92;83,00;82,36;83,20;82,12;83,00;82,983;1217040;100157887;1090;
2019-04-02;81,64;81,84;80,48;83,24;80,48;81,92;81,84;1006265;82373719,2;1457;
2019-04-01;80,48;80,56;80,00;81,18;78,84;80,48;80,129;890690;70998585,15;1460;
2019-03-29;79,84;80,00;79,92;80,00;78,92;79,80;79,618;174175;13867635;779;
2019-03-28;79,44;79,48;79,04;79,80;78,84;79,44;79,282;270390;21436305,4;883;
2019-03-27;79,36;79,48;79,60;79,92;78,96;79,32;79,378;212140;16839060,4;753;
2019-03-26;79,36;79,48;78,60;79,60;77,88;79,32;79,11;264285;20907691,6;935;
2019-03-25;78,56;78,68;78,60;78,80;77,20;78,64;78,253;301335;23577782,6;985;
2019-03-22;78,80;78,88;79,40;79,92;78,52;78,72;78,959;189010;14924075,4;693;
2019-03-21;79,68;79,84;80,12;80,16;79,16;79,52;79,606;248365;19771242;968;
2019-03-20;80,24;80,40;81,00;81,40;80,08;80,12;80,496;229805;18498297,4;817;
2019-03-19;82,88;83,08;82,84;83,48;82,40;82,96;83,026;303550;25202755,8;1038;
2019-03-18;82,36;82,52;82,60;83,36;82,28;82,40;82,704;227930;18850655,8;842;
2019-03-15;82,68;82,72;82,24;83,40;81,80;82,44;82,552;414625;34229944,2;1205;
