sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-10;479,80;480,80;477,20;485,80;476,40;479,60;481,133;133743;64420688,8;1385;
2019-06-07;476,40;476,60;476,00;484,80;474,80;477,00;478,44;131315;62827393,4;1806;
2019-06-05;474,40;474,80;474,40;480,60;470,00;474,80;474,612;135441;64277252,6;1690;
2019-06-04;474,80;475,40;459,80;478,00;452,80;475,20;468,425;136594;63996540,5;1945;
2019-06-03;457,20;458,60;458,80;458,80;448,80;458,00;453,391;112014;50786190,8;1444;
2019-05-31;459,20;459,80;460,20;465,20;449,60;461,60;458,051;143630;65782102,2;1725;
2019-05-29;467,20;467,60;477,80;482,20;463,20;466,00;469,749;93693;44010604;1311;
2019-05-28;478,60;479,60;474,80;483,60;468,00;483,60;482,628;1187345;573039746,7;2669;
2019-05-27;474,20;474,80;469,00;476,20;469,00;474,80;473,806;89782;42539290;1275;
2019-05-24;469,00;469,60;473,00;476,60;466,80;469,00;469,004;142741;66946600,8;1260;
2019-05-23;469,60;470,20;480,00;480,20;467,40;470,00;470,411;96391;45344395,5;1386;
2019-05-22;477,00;477,80;486,00;486,00;472,60;480,00;477,241;110948;52949048,4;1620;
2019-05-21;479,20;480,00;480,60;491,40;478,00;481,20;482,307;131117;63247346;1808;
2019-05-20;475,20;476,20;479,80;482,20;473,80;477,20;477,55;92059;43962447,2;1231;
2019-05-17;479,80;480,20;485,00;487,00;475,40;480,00;479,444;102138;48969187,2;1337;
2019-05-16;481,20;482,00;466,00;482,20;466,00;482,20;476,871;126720;60428233,1;1710;
2019-05-15;463,60;464,00;457,00;469,40;457,00;465,00;463,676;136871;63463807;1822;
2019-05-14;456,60;457,20;442,00;457,00;438,80;457,00;445,498;275959;122938860,4;1903;
2019-05-13;436,60;437,00;444,60;447,40;436,00;437,80;439,66;59920;26348573,4;892;
2019-05-10;443,40;444,20;441,00;449,40;441,00;443,60;445,70;59160;26379457,9;784;
2019-05-09;438,60;439,40;453,00;453,00;439,00;439,00;443,661;64652;28686564,3;907;
2019-05-08;455,60;456,20;442,80;456,40;442,20;456,20;451,113;93153;42019902;1278;
2019-05-07;443,40;444,20;445,80;453,80;443,80;445,80;447,423;106037;47472948;1329;
2019-05-06;446,60;447,20;449,40;449,40;437,00;448,00;443,422;115275;51114737,8;977;
2019-05-03;452,00;452,40;448,00;455,60;446,20;452,40;452,651;59333;26857117,2;833;
2019-05-02;447,40;448,00;453,00;454,20;444,80;447,80;448,553;498110;223428807;1265;
2019-04-30;452,00;452,40;448,60;456,00;442,20;452,40;451,556;99742;45038323,2;1323;
2019-04-29;446,80;447,60;429,40;449,00;425,60;448,40;441,427;188277;83139429,1;1871;
2019-04-26;431,00;432,00;424,80;438,60;422,00;432,00;430,22;193211;83122317;2173;
2019-04-25;426,60;427,60;418,00;429,60;413,40;424,80;425,789;180155;76745146,2;1265;
2019-04-24;416,40;417,20;420,00;422,40;414,80;416,00;418,141;80128;33506248,65;924;
2019-04-23;417,20;417,80;410,40;419,20;409,20;417,40;415,736;84113;34965244;1203;
2019-04-18;408,20;408,80;404,40;410,20;403,00;409,00;408,071;16807;6858445,6;324;
2019-04-17;403,60;404,00;408,40;409,40;403,00;404,40;407,025;66473;27055329,2;439;
2019-04-16;407,20;408,00;402,40;409,60;401,80;408,20;406,909;55932;22759266,8;778;
2019-04-15;401,00;401,40;402,00;404,60;396,60;402,40;399,432;67707;27044237;916;
2019-04-12;400,00;401,00;397,60;402,40;395,80;400,20;399,855;76814;30715149,7;937;
2019-04-11;398,80;399,80;396,00;402,40;395,60;399,40;400,182;85596;34254460,5;1130;
2019-04-10;395,20;396,20;394,80;398,80;389,20;393,60;393,784;283414;111603812;920;
2019-04-09;389,60;390,20;391,80;397,60;387,80;391,40;392,939;77195;30332928;1122;
2019-04-08;389,80;390,60;391,00;392,40;384,80;391,20;387,711;98170;38061544,6;1113;
2019-04-05;389,00;389,40;401,40;401,40;387,80;390,20;393,402;121819;47922552,6;1811;
2019-04-04;399,80;400,80;403,00;403,00;395,60;401,40;400,454;70937;28407096;695;
2019-04-03;400,80;402,00;395,00;403,00;395,00;403,00;399,152;96866;38664251;1111;
2019-04-02;389,80;390,80;390,20;393,00;386,00;391,40;390,775;67650;26482491,8;565;
2019-04-01;389,40;390,00;381,80;390,00;379,60;390,00;385,461;60683;23390081,2;872;
