sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-06-10;130,20;130,30;130,05;132,35;129,65;130,15;131,052;815016;106789234,57;2875;
2019-06-07;129,45;129,60;127,95;130,25;127,50;129,70;129,482;1248190;161618358,95;3820;
2019-06-05;127,05;127,10;129,95;129,95;126,50;127,15;127,826;1479117;189074514,33;3363;
2019-06-04;129,45;129,50;126,70;129,50;125,70;129,15;128,575;1111159;142869592,23;2948;
2019-06-03;126,85;127,00;126,35;127,20;124,50;127,05;125,901;1184536;149146383,48;3228;
2019-05-31;126,00;126,20;128,85;128,85;125,25;126,40;126,467;1615508;204300799,31;4327;
2019-05-29;129,70;129,75;131,00;131,10;129,15;129,30;129,796;624648;81076162,55;2283;
2019-05-28;132,05;132,10;133,10;134,25;131,55;132,10;132,279;1320966;174742202,54;3174;
2019-05-27;132,60;132,90;133,30;134,05;132,05;132,60;132,763;381252;50613087,6;1587;
2019-05-24;132,60;132,70;131,90;134,05;131,90;132,50;132,912;946065;125746537,35;3674;
2019-05-23;131,70;131,80;136,00;136,05;131,55;131,55;132,537;1275594;169081072,61;4656;
2019-05-22;136,10;136,25;137,55;137,85;135,80;136,20;136,62;693720;94777413,19;2332;
2019-05-21;137,85;138,00;137,05;138,15;136,45;137,55;137,541;1128979;155281008,11;4206;
2019-05-20;136,70;136,85;139,95;140,00;134,60;136,75;136,615;1079409;147509124,88;4323;
2019-05-17;137,85;138,00;140,15;140,15;136,95;138,05;138,008;693662;95721093,08;2737;
2019-05-16;140,10;140,15;138,70;140,55;137,75;140,25;139,745;1111104;155294396,54;3263;
2019-05-15;138,80;138,95;139,20;140,55;136,30;138,65;137,924;911699;125741487,71;3431;
2019-05-14;138,45;138,60;138,50;139,90;137,00;138,60;138,245;622606;86069931,81;2604;
2019-05-13;138,05;138,20;140,85;140,85;136,70;137,75;138,109;772543;106689233,02;2996;
2019-05-10;140,70;140,80;141,20;143,60;140,05;140,80;141,97;501572;71211043,27;2130;
2019-05-09;140,70;140,80;143,20;143,25;140,60;140,60;141,552;754840;106847217,42;2816;
2019-05-08;144,30;144,45;143,80;146,35;143,50;144,65;144,739;712400;103121892,62;2463;
2019-05-07;143,30;143,40;148,90;150,00;143,30;143,80;145,545;1122808;163423962,93;3641;
2019-05-06;147,95;148,00;149,85;149,85;147,10;148,30;148,116;654717;96971737,2;2608;
2019-05-03;152,15;152,35;152,35;152,90;151,40;152,00;152,048;912546;138738493,04;2526;
2019-05-02;152,55;152,65;157,00;157,10;151,35;152,25;153,023;1409190;215576487,53;4611;
2019-04-30;157,80;157,85;160,40;160,50;156,95;157,00;157,927;583417;92139143,43;1766;
2019-04-29;159,90;160,00;162,00;163,90;158,40;159,90;160,483;1075562;172587999,6;3498;
2019-04-26;162,00;162,20;160,00;168,60;159,45;162,15;164,366;1946314;319864355,08;5950;
2019-04-25;161,60;161,75;158,50;163,20;158,15;162,45;161,807;1326265;214110628,05;4052;
